ticket_id,customer_id,ticket_date,category,status,priority,channel,resolution_time_hours,sentiment,satisfaction_score
TKT00025,CUST01354,2024-07-06,Return Request,Closed,Low,Chat,51.0,Neutral,5.0
TKT00026,CUST01376,2024-05-28,Shipping Inquiry,Resolved,Medium,Email,6.0,Neutral,4.0
TKT00027,CUST01376,2023-08-16,Payment Issue,Closed,Low,Chat,74.0,Positive,2.0
TKT00028,CUST01376,2024-06-15,Shipping Inquiry,Resolved,Medium,Phone,58.0,Positive,5.0
TKT00029,CUST02792,2025-07-11,Technical Support,Closed,Low,Social Media,107.0,Neutral,4.0
TKT00030,CUST02792,2025-02-16,Shipping Inquiry,Open,High,Phone,,Neutral,
TKT00031,CUST04672,2021-10-07,Return Request,Closed,Medium,Email,118.0,Neutral,5.0
TKT00032,CUST04672,2021-09-26,Technical Support,Closed,Medium,Chat,10.0,Neutral,5.0
TKT00033,CUST04672,2022-04-02,Account Management,In Progress,Low,Phone,,Neutral,
TKT00034,CUST04672,2021-07-12,Technical Support,Closed,Medium,Chat,96.0,Neutral,4.0
TKT00035,CUST01390,2021-06-19,Product Question,Resolved,Medium,Chat,117.0,Positive,4.0
TKT00036,CUST01428,2021-08-28,Product Question,Closed,Low,Chat,89.0,Neutral,4.0
TKT00037,CUST01428,2022-12-11,General Inquiry,Closed,Low,Chat,48.0,Positive,5.0
TKT00038,CUST01428,2021-10-29,Technical Support,In Progress,Medium,Chat,,Neutral,
TKT00039,CUST02847,2024-12-03,Technical Support,Resolved,Low,Email,5.0,Positive,5.0
TKT00040,CUST02577,2025-04-04,Technical Support,Closed,Low,Chat,5.0,Neutral,4.0
TKT00041,CUST02352,2022-03-31,Payment Issue,In Progress,High,Chat,,Negative,
TKT00042,CUST02352,2022-04-17,General Inquiry,Closed,Medium,Email,61.0,Neutral,2.0
TKT00043,CUST02352,2023-03-22,Return Request,Closed,Low,Phone,33.0,Positive,3.0
TKT00044,CUST02352,2023-12-23,General Inquiry,Resolved,Low,Chat,90.0,Positive,5.0
TKT00045,CUST02352,2023-12-15,General Inquiry,Closed,Low,Email,41.0,Neutral,4.0
TKT00046,CUST02185,2022-12-04,Technical Support,Resolved,Medium,Chat,3.0,Positive,3.0
TKT00047,CUST02185,2022-02-27,Product Question,In Progress,High,Chat,,Neutral,
TKT00048,CUST02185,2023-10-21,Product Question,In Progress,High,Email,,Positive,
TKT00049,CUST02185,2024-01-25,Technical Support,Closed,Medium,Email,105.0,Neutral,5.0
TKT00050,CUST04711,2022-03-18,General Inquiry,Closed,High,Email,102.0,Positive,4.0
TKT00051,CUST04711,2022-10-29,Product Question,Resolved,Medium,Chat,77.0,Positive,4.0
TKT00052,CUST04711,2021-10-18,Technical Support,Closed,Low,Phone,82.0,Neutral,4.0
TKT00053,CUST00494,2025-04-10,Product Question,Open,High,Email,,Negative,
TKT00054,CUST00494,2024-01-30,Payment Issue,Open,Low,Social Media,,Negative,
TKT00055,CUST00494,2024-10-19,Payment Issue,In Progress,Medium,Phone,,Negative,
TKT00056,CUST00494,2024-12-03,Shipping Inquiry,Closed,Low,Email,20.0,Neutral,2.0
TKT00057,CUST00338,2023-05-28,General Inquiry,Closed,Low,Chat,40.0,Positive,1.0
TKT00058,CUST00338,2022-09-25,General Inquiry,Closed,Medium,Phone,103.0,Positive,4.0
TKT00059,CUST00338,2023-08-12,Technical Support,Resolved,Medium,Chat,69.0,Positive,2.0
TKT00060,CUST00338,2022-04-12,Order Issue,In Progress,Low,Chat,,Neutral,
TKT00061,CUST00338,2021-11-26,Order Issue,Open,Medium,Email,,Negative,
TKT00062,CUST03484,2020-11-30,Shipping Inquiry,Resolved,Low,Email,36.0,Positive,2.0
TKT00063,CUST03484,2020-05-16,Product Question,Resolved,Low,Email,85.0,Positive,4.0
TKT00064,CUST03484,2020-05-30,Payment Issue,In Progress,Critical,Chat,,Negative,
TKT00065,CUST00867,2024-12-19,Technical Support,Closed,Low,Phone,43.0,Positive,4.0
TKT00066,CUST00867,2024-11-11,Shipping Inquiry,Resolved,Low,Chat,11.0,Neutral,3.0
TKT00067,CUST01964,2023-01-29,Account Management,Closed,Low,Email,118.0,Neutral,4.0
TKT00068,CUST04045,2022-03-30,General Inquiry,Closed,Medium,Phone,79.0,Positive,4.0
TKT00069,CUST04045,2022-03-27,Technical Support,In Progress,Medium,Chat,,Neutral,
TKT00070,CUST04045,2022-09-19,Account Management,Closed,Low,Email,3.0,Neutral,3.0
TKT00071,CUST04045,2022-03-11,Technical Support,Resolved,Medium,Email,70.0,Neutral,4.0
TKT00072,CUST04045,2021-02-20,General Inquiry,Resolved,High,Chat,54.0,Positive,5.0
TKT00073,CUST01805,2023-04-06,Product Question,Resolved,Medium,Email,67.0,Positive,4.0
TKT00074,CUST01805,2023-01-18,Payment Issue,Resolved,Low,Chat,30.0,Neutral,4.0
TKT00075,CUST01111,2023-03-16,Shipping Inquiry,In Progress,High,Email,,Neutral,
TKT00076,CUST04779,2024-08-20,Payment Issue,Closed,Medium,Email,22.0,Neutral,4.0
TKT00077,CUST04779,2025-08-13,Return Request,Closed,Low,Chat,116.0,Neutral,5.0
TKT00078,CUST02235,2025-07-05,Account Management,Closed,Critical,Email,3.0,Positive,4.0
TKT00079,CUST01043,2023-10-29,Account Management,Open,Low,Email,,Positive,
TKT00080,CUST03254,2025-04-05,Order Issue,Resolved,Low,Email,55.0,Neutral,4.0
TKT00081,CUST01351,2024-12-14,Order Issue,In Progress,Low,Email,,Negative,
TKT00082,CUST01351,2024-11-21,Return Request,Closed,Low,Email,17.0,Positive,5.0
TKT00083,CUST01525,2022-05-22,Account Management,Resolved,Medium,Chat,87.0,Positive,2.0
TKT00084,CUST01525,2022-04-20,Account Management,Resolved,Medium,Chat,42.0,Neutral,5.0
TKT00085,CUST01648,2022-07-16,Account Management,Closed,High,Email,99.0,Positive,4.0
TKT00086,CUST01648,2022-09-07,Order Issue,Closed,High,Phone,34.0,Positive,3.0
TKT00087,CUST00412,2022-08-11,General Inquiry,Closed,Medium,Chat,115.0,Positive,5.0
TKT00088,CUST00412,2022-05-15,Order Issue,In Progress,Medium,Email,,Negative,
TKT00089,CUST00412,2022-01-30,Payment Issue,Closed,High,Chat,45.0,Positive,3.0
TKT00090,CUST01952,2022-01-01,Technical Support,Resolved,Low,Phone,52.0,Neutral,5.0
TKT00091,CUST04243,2023-02-05,General Inquiry,Closed,Low,Email,38.0,Positive,4.0
TKT00092,CUST02822,2023-01-12,Product Question,Resolved,Low,Chat,107.0,Positive,5.0
TKT00093,CUST04033,2024-07-14,Order Issue,Resolved,Low,Chat,93.0,Neutral,5.0
TKT00094,CUST04911,2025-10-24,Order Issue,Resolved,Critical,Email,65.0,Positive,5.0
TKT00095,CUST01397,2021-05-26,Return Request,Closed,Low,Email,23.0,Neutral,4.0
TKT00096,CUST01062,2021-01-11,Shipping Inquiry,Open,High,Email,,Positive,
TKT00097,CUST01062,2021-01-23,General Inquiry,Closed,Medium,Chat,53.0,Positive,4.0
TKT00098,CUST01062,2021-12-15,Account Management,In Progress,Low,Email,,Neutral,
TKT00099,CUST00443,2024-01-30,Technical Support,Open,Medium,Phone,,Neutral,
TKT00100,CUST02906,2022-03-15,Product Question,Resolved,High,Email,1.0,Neutral,1.0
TKT00101,CUST02906,2022-08-22,Shipping Inquiry,Open,Medium,Phone,,Neutral,
TKT00102,CUST02906,2022-04-28,Product Question,Open,High,Email,,Neutral,
TKT00103,CUST04538,2023-08-15,Technical Support,Closed,Low,Social Media,41.0,Neutral,5.0
TKT00104,CUST04538,2023-03-04,Account Management,Closed,Low,Phone,31.0,Neutral,4.0
TKT00105,CUST04147,2024-07-13,Payment Issue,Closed,Low,Email,29.0,Positive,3.0
TKT00106,CUST03985,2024-06-04,Technical Support,Resolved,High,Chat,83.0,Positive,5.0
TKT00107,CUST00281,2022-09-25,Payment Issue,Closed,High,Email,114.0,Positive,2.0
TKT00108,CUST01736,2024-04-30,Payment Issue,Resolved,Medium,Email,19.0,Neutral,4.0
TKT00109,CUST01609,2022-11-18,Payment Issue,Resolved,Medium,Chat,119.0,Neutral,5.0
TKT00110,CUST02238,2024-01-03,Payment Issue,Resolved,Medium,Chat,40.0,Neutral,4.0
TKT00111,CUST02238,2023-07-01,Product Question,In Progress,High,Chat,,Neutral,
TKT00112,CUST02238,2022-08-20,Product Question,Resolved,Medium,Email,2.0,Neutral,4.0
TKT00113,CUST02238,2024-03-16,Return Request,Resolved,Low,Email,7.0,Positive,5.0
TKT00114,CUST02238,2024-07-28,Product Question,Closed,Medium,Email,7.0,Neutral,5.0
TKT00115,CUST00062,2023-10-23,Order Issue,Resolved,High,Chat,40.0,Positive,5.0
TKT00116,CUST00062,2023-07-18,Account Management,Resolved,Low,Chat,102.0,Positive,5.0
TKT00117,CUST00062,2022-01-25,Product Question,Closed,Critical,Chat,10.0,Positive,4.0
TKT00118,CUST04743,2023-03-09,General Inquiry,Resolved,Low,Chat,25.0,Positive,5.0
TKT00119,CUST01487,2021-11-02,Product Question,In Progress,Low,Chat,,Positive,
TKT00120,CUST03761,2024-01-27,Technical Support,In Progress,Medium,Email,,Negative,
TKT00121,CUST03761,2024-03-14,Return Request,Closed,Medium,Chat,15.0,Positive,5.0
TKT00122,CUST03761,2024-08-24,Payment Issue,In Progress,Medium,Chat,,Negative,
TKT00123,CUST04348,2022-03-04,Order Issue,Open,High,Chat,,Negative,
TKT00124,CUST04348,2021-07-12,Return Request,In Progress,High,Email,,Negative,
TKT00125,CUST03753,2023-06-17,Return Request,Closed,Low,Chat,22.0,Positive,3.0
TKT00126,CUST03753,2023-05-26,Order Issue,Open,Low,Email,,Negative,
TKT00127,CUST03753,2021-08-09,Product Question,Resolved,Critical,Social Media,31.0,Positive,3.0
TKT00128,CUST03753,2023-05-27,Product Question,Resolved,Low,Chat,119.0,Positive,1.0
TKT00129,CUST03753,2021-09-12,Payment Issue,Closed,Medium,Phone,97.0,Positive,4.0
TKT00130,CUST03048,2023-06-29,General Inquiry,Closed,Medium,Chat,103.0,Positive,5.0
TKT00131,CUST02621,2022-07-23,Technical Support,Resolved,High,Chat,78.0,Positive,4.0
TKT00132,CUST02621,2023-08-15,Shipping Inquiry,Closed,Medium,Email,22.0,Neutral,2.0
TKT00133,CUST04517,2022-07-28,General Inquiry,In Progress,High,Chat,,Negative,
TKT00134,CUST04517,2023-10-10,Shipping Inquiry,Resolved,Medium,Chat,51.0,Positive,5.0
TKT00135,CUST01003,2024-06-20,Product Question,Closed,Low,Chat,102.0,Positive,5.0
TKT00136,CUST01003,2023-09-06,Account Management,Resolved,Medium,Email,87.0,Neutral,3.0
TKT00137,CUST01055,2022-12-19,Order Issue,In Progress,Low,Email,,Negative,
TKT00138,CUST00594,2024-04-03,General Inquiry,Resolved,Low,Email,39.0,Positive,4.0
TKT00139,CUST03321,2025-09-27,General Inquiry,Closed,Low,Chat,45.0,Neutral,4.0
TKT00140,CUST04972,2025-01-17,Payment Issue,Closed,Medium,Email,77.0,Positive,4.0
TKT00141,CUST02558,2023-09-17,General Inquiry,In Progress,Low,Chat,,Neutral,
TKT00142,CUST02558,2022-10-16,Account Management,Closed,Medium,Email,51.0,Neutral,5.0
TKT00143,CUST00217,2022-04-05,Order Issue,Resolved,Medium,Email,31.0,Positive,2.0
TKT00144,CUST00217,2022-01-05,Payment Issue,Closed,Low,Email,119.0,Positive,5.0
TKT00145,CUST03211,2021-12-23,Technical Support,Resolved,Low,Email,104.0,Positive,5.0
TKT00146,CUST03719,2023-05-15,Return Request,Closed,High,Chat,115.0,Positive,4.0
TKT00147,CUST04371,2021-10-31,Return Request,In Progress,Low,Email,,Negative,
TKT00148,CUST04371,2022-07-06,Technical Support,Resolved,High,Chat,65.0,Neutral,4.0
TKT00149,CUST04371,2022-09-16,Shipping Inquiry,Closed,Low,Phone,36.0,Neutral,4.0
TKT00150,CUST04572,2024-07-09,General Inquiry,Resolved,Medium,Phone,91.0,Neutral,4.0
TKT00151,CUST04572,2024-09-18,Order Issue,Resolved,Low,Email,32.0,Neutral,4.0
TKT00152,CUST00840,2023-01-23,Account Management,Closed,Low,Social Media,113.0,Positive,4.0
TKT00153,CUST00039,2020-08-20,Payment Issue,Resolved,Low,Chat,101.0,Neutral,5.0
TKT00154,CUST00039,2020-11-17,Payment Issue,Resolved,Low,Phone,75.0,Positive,4.0
TKT00155,CUST04799,2022-02-20,General Inquiry,Resolved,High,Email,48.0,Positive,5.0
TKT00156,CUST04985,2020-09-30,Technical Support,Closed,High,Email,66.0,Neutral,2.0
TKT00157,CUST02812,2025-05-27,General Inquiry,Resolved,Low,Chat,113.0,Positive,5.0
TKT00158,CUST00665,2022-05-08,Return Request,Open,Low,Phone,,Negative,
TKT00159,CUST01912,2024-05-09,Account Management,Closed,Medium,Chat,117.0,Neutral,2.0
TKT00160,CUST01912,2024-02-16,Account Management,Resolved,Medium,Email,68.0,Positive,4.0
TKT00161,CUST01912,2023-12-30,Account Management,Closed,Medium,Phone,80.0,Positive,4.0
TKT00162,CUST04881,2021-10-08,Product Question,Open,Critical,Chat,,Positive,
TKT00163,CUST03538,2023-07-19,Account Management,Resolved,Low,Email,38.0,Positive,3.0
TKT00164,CUST04577,2021-03-27,Account Management,Resolved,High,Email,27.0,Positive,3.0
TKT00165,CUST04577,2021-05-26,General Inquiry,Closed,Low,Phone,36.0,Positive,5.0
TKT00166,CUST03565,2023-03-26,Product Question,Closed,Low,Email,13.0,Neutral,3.0
TKT00167,CUST03565,2022-09-04,General Inquiry,In Progress,High,Email,,Neutral,
TKT00168,CUST03565,2023-01-30,Technical Support,Closed,Low,Chat,30.0,Positive,2.0
TKT00169,CUST02769,2024-03-30,Shipping Inquiry,Closed,Low,Phone,89.0,Neutral,4.0
TKT00170,CUST02769,2023-03-11,Shipping Inquiry,In Progress,Low,Phone,,Positive,
TKT00171,CUST02770,2023-02-12,Return Request,In Progress,Low,Chat,,Negative,
TKT00172,CUST02770,2021-11-05,Return Request,Closed,Low,Chat,105.0,Positive,4.0
TKT00173,CUST02770,2023-08-30,Payment Issue,Closed,Medium,Email,27.0,Neutral,3.0
TKT00174,CUST00376,2022-07-06,Return Request,Resolved,Medium,Chat,14.0,Positive,5.0
TKT00175,CUST04297,2025-04-06,Payment Issue,Closed,High,Phone,72.0,Positive,2.0
TKT00176,CUST01544,2022-06-14,Return Request,Closed,High,Chat,50.0,Neutral,4.0
TKT00177,CUST01544,2022-09-01,Return Request,Resolved,Low,Email,29.0,Neutral,4.0
TKT00178,CUST01544,2022-11-04,General Inquiry,Closed,High,Phone,23.0,Positive,3.0
TKT00179,CUST02309,2024-05-01,General Inquiry,Closed,Medium,Chat,54.0,Positive,5.0
TKT00180,CUST00890,2021-01-28,Product Question,Open,High,Phone,,Negative,
TKT00181,CUST00890,2020-08-25,Account Management,Closed,Low,Chat,68.0,Neutral,1.0
TKT00182,CUST02691,2025-05-07,Order Issue,Resolved,High,Email,4.0,Neutral,2.0
TKT00183,CUST03453,2022-01-26,Payment Issue,In Progress,Medium,Email,,Negative,
TKT00184,CUST03453,2021-07-01,Shipping Inquiry,Resolved,Low,Email,33.0,Positive,4.0
TKT00185,CUST03608,2022-04-09,Return Request,Resolved,Low,Chat,13.0,Positive,5.0
TKT00186,CUST03608,2022-06-24,Technical Support,Resolved,Low,Email,6.0,Positive,4.0
TKT00187,CUST03608,2023-07-17,Technical Support,Closed,Medium,Chat,64.0,Neutral,3.0
TKT00188,CUST03608,2023-05-14,General Inquiry,Closed,Medium,Email,9.0,Neutral,4.0
TKT00189,CUST03608,2022-06-16,Technical Support,Resolved,Low,Chat,85.0,Positive,2.0
TKT00190,CUST02941,2023-05-28,Shipping Inquiry,Closed,High,Chat,6.0,Positive,5.0
TKT00191,CUST01815,2024-11-18,Return Request,Closed,Medium,Chat,110.0,Neutral,1.0
TKT00192,CUST01815,2025-07-10,Return Request,Closed,Medium,Chat,16.0,Neutral,5.0
TKT00193,CUST02635,2022-03-27,Payment Issue,Open,Low,Chat,,Neutral,
TKT00194,CUST00531,2021-08-02,Technical Support,Closed,Low,Phone,34.0,Positive,5.0
TKT00195,CUST04896,2023-02-06,Payment Issue,Closed,Critical,Email,22.0,Neutral,1.0
TKT00196,CUST04896,2022-12-22,Return Request,In Progress,High,Email,,Neutral,
TKT00197,CUST04896,2022-05-06,Product Question,In Progress,Low,Social Media,,Neutral,
TKT00198,CUST03659,2022-02-04,Order Issue,Open,Low,Email,,Negative,
TKT00199,CUST04861,2025-08-14,Account Management,Resolved,Medium,Email,67.0,Neutral,2.0
TKT00200,CUST04861,2025-07-30,Shipping Inquiry,Resolved,High,Phone,112.0,Neutral,3.0
TKT00201,CUST03698,2021-07-26,Payment Issue,Resolved,Low,Social Media,50.0,Neutral,1.0
TKT00202,CUST03698,2021-12-06,Shipping Inquiry,In Progress,High,Email,,Positive,
TKT00203,CUST03095,2023-11-22,Return Request,In Progress,Low,Chat,,Negative,
TKT00204,CUST03095,2025-09-13,Payment Issue,Resolved,Low,Email,56.0,Neutral,4.0
TKT00205,CUST01817,2020-06-06,Payment Issue,Closed,Low,Phone,9.0,Positive,5.0
TKT00206,CUST01817,2021-04-15,Return Request,Resolved,High,Email,40.0,Positive,3.0
TKT00207,CUST00394,2022-06-28,Technical Support,In Progress,Medium,Email,,Neutral,
TKT00208,CUST00394,2022-02-16,Product Question,Resolved,High,Chat,20.0,Positive,3.0
TKT00209,CUST02389,2025-02-23,Product Question,Resolved,Medium,Phone,106.0,Positive,4.0
TKT00210,CUST01874,2025-07-23,Product Question,Resolved,Medium,Phone,88.0,Neutral,3.0
TKT00211,CUST01368,2022-10-07,Return Request,Resolved,High,Chat,23.0,Positive,4.0
TKT00212,CUST01203,2023-11-25,Order Issue,Open,Medium,Social Media,,Negative,
TKT00213,CUST00526,2021-10-04,Return Request,Resolved,Low,Email,45.0,Positive,3.0
TKT00214,CUST00526,2021-10-24,General Inquiry,Resolved,Medium,Chat,17.0,Neutral,4.0
TKT00215,CUST00526,2021-07-18,General Inquiry,Open,Low,Email,,Neutral,
TKT00216,CUST01007,2021-12-02,General Inquiry,Resolved,Medium,Phone,113.0,Positive,3.0
TKT00217,CUST01007,2022-04-11,Order Issue,Open,High,Email,,Negative,
TKT00218,CUST02145,2025-01-01,Product Question,Resolved,Medium,Phone,60.0,Neutral,5.0
TKT00219,CUST02145,2025-06-24,Shipping Inquiry,Resolved,Low,Chat,70.0,Positive,5.0
TKT00220,CUST04392,2021-10-18,Account Management,Open,Low,Email,,Positive,
TKT00221,CUST04895,2024-10-17,Product Question,Resolved,High,Chat,97.0,Positive,4.0
TKT00222,CUST04895,2024-12-21,Account Management,Resolved,Low,Email,63.0,Positive,4.0
TKT00223,CUST04895,2025-08-22,Shipping Inquiry,Closed,High,Email,9.0,Neutral,4.0
TKT00224,CUST04895,2025-04-18,Return Request,Closed,Low,Email,100.0,Neutral,4.0
TKT00225,CUST03806,2021-08-23,Account Management,Resolved,Medium,Email,1.0,Neutral,2.0
TKT00226,CUST02888,2021-08-13,Product Question,Resolved,Low,Email,43.0,Neutral,3.0
TKT00227,CUST02888,2022-02-27,Account Management,Closed,Low,Email,5.0,Neutral,4.0
TKT00228,CUST03257,2023-04-19,Product Question,Open,Low,Email,,Neutral,
TKT00229,CUST03257,2023-01-17,Return Request,Closed,Medium,Email,5.0,Neutral,1.0
TKT00230,CUST04282,2023-01-27,Technical Support,Resolved,Low,Email,66.0,Positive,3.0
TKT00231,CUST04282,2023-06-20,Shipping Inquiry,Open,Medium,Email,,Positive,
TKT00232,CUST03166,2020-09-01,Payment Issue,Closed,High,Chat,102.0,Neutral,4.0
TKT00233,CUST03166,2021-01-19,Account Management,Closed,Low,Chat,84.0,Positive,4.0
TKT00234,CUST03166,2022-08-15,Return Request,Resolved,Low,Phone,55.0,Neutral,1.0
TKT00235,CUST03967,2020-02-10,Order Issue,Closed,Medium,Chat,34.0,Positive,4.0
TKT00236,CUST02162,2022-04-14,Product Question,In Progress,Medium,Phone,,Negative,
TKT00237,CUST02796,2024-04-29,Return Request,Resolved,Medium,Email,36.0,Positive,4.0
TKT00238,CUST01258,2023-01-24,Product Question,Closed,Medium,Social Media,72.0,Positive,5.0
TKT00239,CUST01258,2024-05-12,General Inquiry,Resolved,Low,Chat,79.0,Positive,3.0
TKT00240,CUST01307,2024-05-03,Order Issue,Closed,High,Chat,36.0,Neutral,4.0
TKT00241,CUST00055,2023-08-18,Shipping Inquiry,Closed,Low,Chat,31.0,Neutral,5.0
TKT00242,CUST00055,2022-08-19,Technical Support,Closed,Medium,Email,40.0,Neutral,5.0
TKT00243,CUST00966,2025-09-19,Shipping Inquiry,Closed,High,Chat,30.0,Neutral,4.0
TKT00244,CUST01271,2023-03-19,Product Question,Closed,Medium,Chat,70.0,Positive,4.0
TKT00245,CUST01271,2022-11-26,General Inquiry,Closed,Medium,Chat,62.0,Positive,2.0
TKT00246,CUST03561,2025-10-17,Return Request,In Progress,Medium,Social Media,,Negative,
TKT00247,CUST03561,2024-01-01,Account Management,In Progress,Medium,Social Media,,Negative,
TKT00248,CUST00420,2022-07-07,Technical Support,Open,Low,Email,,Neutral,
TKT00249,CUST00420,2022-09-05,Return Request,Open,Low,Phone,,Negative,
TKT00250,CUST00420,2022-02-22,Shipping Inquiry,Resolved,Low,Chat,116.0,Positive,2.0
TKT00251,CUST04811,2024-08-15,Payment Issue,Resolved,High,Chat,12.0,Neutral,3.0
TKT00252,CUST00185,2022-06-12,Return Request,Resolved,Low,Chat,61.0,Positive,3.0
TKT00253,CUST00209,2022-03-27,Payment Issue,Resolved,Low,Chat,34.0,Positive,4.0
TKT00254,CUST04790,2024-03-29,Order Issue,Closed,High,Chat,113.0,Positive,3.0
TKT00255,CUST00985,2023-04-25,Payment Issue,Resolved,High,Email,14.0,Positive,5.0
TKT00256,CUST00985,2023-08-19,Return Request,Resolved,Low,Email,34.0,Neutral,3.0
TKT00257,CUST00985,2023-05-11,Account Management,Resolved,Low,Email,14.0,Neutral,1.0
TKT00258,CUST00985,2023-02-15,Shipping Inquiry,Closed,Low,Email,104.0,Positive,2.0
TKT00259,CUST02116,2022-10-26,Shipping Inquiry,Resolved,High,Email,75.0,Positive,3.0
TKT00260,CUST04562,2025-03-01,Payment Issue,Closed,Medium,Chat,109.0,Neutral,4.0
TKT00261,CUST04562,2024-05-12,General Inquiry,Resolved,Critical,Email,101.0,Positive,4.0
TKT00262,CUST04965,2024-05-17,General Inquiry,Resolved,Medium,Email,74.0,Neutral,4.0
TKT00263,CUST03737,2021-04-21,Shipping Inquiry,In Progress,Critical,Social Media,,Neutral,
TKT00264,CUST03737,2021-07-13,General Inquiry,Resolved,Low,Email,82.0,Positive,3.0
TKT00265,CUST01477,2024-06-03,Shipping Inquiry,Resolved,Low,Chat,11.0,Positive,2.0
TKT00266,CUST01214,2024-10-09,General Inquiry,Closed,Medium,Chat,114.0,Neutral,4.0
TKT00267,CUST01214,2025-01-26,Return Request,Closed,Critical,Email,111.0,Positive,5.0
TKT00268,CUST04140,2024-05-05,Technical Support,Resolved,High,Chat,4.0,Positive,2.0
TKT00269,CUST04140,2024-04-07,Product Question,Closed,Medium,Chat,14.0,Neutral,5.0
TKT00270,CUST04140,2025-04-10,Product Question,Resolved,Medium,Email,101.0,Neutral,4.0
TKT00271,CUST04140,2024-04-22,Shipping Inquiry,In Progress,Low,Phone,,Neutral,
TKT00272,CUST04224,2024-03-24,Return Request,Closed,Medium,Chat,20.0,Neutral,3.0
TKT00273,CUST03758,2021-08-17,Order Issue,Resolved,Medium,Email,115.0,Neutral,4.0
TKT00274,CUST03758,2021-12-13,General Inquiry,Closed,High,Email,103.0,Positive,5.0
TKT00275,CUST01884,2022-10-22,Account Management,Closed,Medium,Chat,45.0,Neutral,5.0
TKT00276,CUST02251,2021-04-15,Product Question,Resolved,Critical,Email,112.0,Positive,5.0
TKT00277,CUST02251,2022-07-23,Account Management,Open,Critical,Email,,Negative,
TKT00278,CUST02787,2024-07-10,Order Issue,In Progress,Medium,Phone,,Neutral,
TKT00279,CUST01980,2023-01-16,Product Question,Resolved,High,Email,39.0,Positive,4.0
TKT00280,CUST03147,2023-05-23,Return Request,Resolved,Medium,Email,90.0,Neutral,5.0
TKT00281,CUST00681,2020-11-04,General Inquiry,Closed,Medium,Email,6.0,Positive,4.0
TKT00282,CUST03423,2022-08-14,Technical Support,In Progress,High,Email,,Positive,
TKT00283,CUST00222,2025-01-20,Account Management,Resolved,Low,Email,117.0,Neutral,3.0
TKT00284,CUST00222,2023-07-12,Product Question,Closed,Low,Email,95.0,Positive,4.0
TKT00285,CUST00222,2024-04-17,Payment Issue,Closed,High,Email,102.0,Positive,4.0
TKT00286,CUST03378,2022-12-30,Return Request,Resolved,High,Chat,62.0,Neutral,3.0
TKT00287,CUST03378,2023-07-03,Technical Support,Resolved,Low,Email,47.0,Neutral,5.0
TKT00288,CUST03986,2021-08-20,Return Request,In Progress,Low,Email,,Neutral,
TKT00289,CUST03986,2021-02-19,Return Request,Resolved,Low,Email,82.0,Positive,4.0
TKT00290,CUST00534,2025-04-18,Return Request,Closed,Medium,Email,79.0,Positive,2.0
TKT00291,CUST01752,2024-03-31,General Inquiry,Closed,Medium,Email,82.0,Positive,4.0
TKT00292,CUST02139,2025-08-07,Payment Issue,Open,High,Chat,,Negative,
TKT00293,CUST00528,2021-10-07,Order Issue,Resolved,High,Email,34.0,Positive,3.0
