customer_id,purchase_frequency,avg_order_value,total_revenue,customer_tenure_months,email_engagement_score,product_categories_purchased,avg_days_between_purchase,days_since_last_purchase,refund_rate,predicted_clv,clv_segment,segment_score
CUST00035,5,66.41,332.05,5,0.46,5,36,55,0.074,743.07,Promising,2
CUST00036,1,230.91,230.91,6,0.24,3,180,88,0.168,288.18,Need Attention,1
CUST00037,8,70.76,566.08,11,0.53,3,22,18,0.056,1558.61,Potential Loyalists,3
CUST00038,13,267.64,3479.32,8,0.85,2,13,5,0.049,8823.56,Champions,5
CUST00039,6,277.47,1664.82,23,0.39,4,30,14,0.069,6070.63,Champions,5
CUST00040,4,75.99,303.96,12,0.12,2,45,44,0.002,606.7,Promising,2
CUST00041,4,92.59,370.36,5,0.53,3,45,14,0.02,514.18,Promising,2
CUST00042,5,307.49,1537.45,10,0.5,2,36,12,0.005,4334.33,Loyal Customers,4
CUST00043,8,204.62,1636.96,3,0.93,4,22,25,0.016,3624.23,Loyal Customers,4
CUST00044,2,200.47,400.94,24,0.53,5,90,25,0.034,1161.92,Potential Loyalists,3
CUST00045,1,134.53,134.53,13,0.1,3,180,92,0.01,277.47,Need Attention,1
CUST00046,2,64.37,128.74,2,0.12,3,90,89,0.048,142.99,Need Attention,1
CUST00047,4,78.84,315.36,16,0.44,3,45,78,0.03,713.76,Promising,2
CUST00048,9,49.76,447.84,9,0.75,1,20,17,0.02,1206.93,Potential Loyalists,3
CUST00049,2,47.04,94.08,48,0.51,3,90,12,0.065,439.82,Need Attention,1
CUST00050,3,60.28,180.84,36,0.18,1,60,94,0.013,713.96,Promising,2
CUST00051,2,53.6,107.2,9,0.13,4,90,118,0.015,184.79,Need Attention,1
CUST00052,7,101.95,713.65,69,0.87,2,25,35,0.031,5359.33,Champions,5
CUST00053,5,52.32,261.6,17,0.08,2,36,16,0.011,883.97,Promising,2
CUST00054,2,142.05,284.1,27,0.72,4,90,97,0.098,832.84,Promising,2
CUST00055,6,62.65,375.9,9,0.61,1,30,6,0.009,1024.42,Potential Loyalists,3
CUST00056,7,167.49,1172.43,1,0.47,2,25,36,0.034,2359.52,Potential Loyalists,3
CUST00057,4,246.13,984.52,12,0.17,1,45,38,0.123,1726.85,Potential Loyalists,3
CUST00058,2,70.79,141.58,15,0.43,2,90,161,0.014,314.1,Need Attention,1
CUST00059,4,67.59,270.36,14,0.21,1,45,80,0.067,546.53,Promising,2
CUST00060,15,164.87,2473.05,1,0.92,4,12,12,0.006,5121.27,Champions,5
CUST00061,40,97.27,3890.8,10,0.67,3,5,10,0.041,10571.95,Champions,5
CUST00062,5,95.59,477.95,8,0.7,2,36,25,0.002,1271.98,Potential Loyalists,3
CUST00063,1,33.35,33.35,20,0.18,1,180,18,0.036,85.73,Need Attention,1
CUST00064,4,40.79,163.16,20,0.13,3,45,6,0.008,431.61,Need Attention,1
CUST00065,3,46.34,139.02,118,0.35,1,60,85,0.009,1492.5,Potential Loyalists,3
CUST00066,45,46.33,2084.85,36,0.06,1,5,4,0.143,8933.58,Champions,5
CUST00067,1,56.45,56.45,2,0.47,1,180,75,0.015,64.87,Need Attention,1
CUST00068,4,83.25,333.0,14,0.13,4,45,11,0.089,657.29,Promising,2
CUST00069,1,130.26,130.26,16,0.4,4,180,60,0.014,299.68,Need Attention,1
CUST00070,14,31.44,440.16,19,0.85,4,12,4,0.049,1499.96,Potential Loyalists,3
CUST00071,4,174.51,698.04,10,0.14,1,45,49,0.073,1186.32,Potential Loyalists,3
CUST00072,1,95.63,95.63,1,0.25,1,180,72,0.007,102.87,Need Attention,1
CUST00073,5,162.33,811.65,47,0.76,2,36,59,0.002,4792.66,Loyal Customers,4
CUST00074,3,101.41,304.23,2,0.46,2,60,82,0.055,335.41,Need Attention,1
CUST00075,6,100.57,603.42,3,0.61,2,30,54,0.062,1273.52,Potential Loyalists,3
CUST00076,3,104.12,312.36,10,0.27,4,60,47,0.053,542.31,Promising,2
CUST00077,7,35.09,245.63,4,0.83,4,25,11,0.066,535.31,Promising,2
CUST00078,14,170.26,2383.64,5,0.63,3,12,12,0.107,5144.09,Champions,5
CUST00079,1,169.34,169.34,8,0.42,1,180,91,0.037,271.79,Need Attention,1
CUST00080,1,193.79,193.79,6,0.18,3,180,54,0.096,262.78,Need Attention,1
CUST00081,4,170.59,682.36,5,0.38,3,45,86,0.025,942.51,Promising,2
CUST00082,2,144.92,289.84,6,0.23,1,90,69,0.211,343.03,Need Attention,1
CUST00083,18,49.45,890.1,24,0.26,5,10,3,0.015,3506.99,Loyal Customers,4
CUST00084,12,238.09,2857.08,1,0.74,2,15,20,0.003,5934.39,Champions,5
CUST00085,16,63.91,1022.56,3,0.79,3,11,21,0.049,2188.02,Potential Loyalists,3
CUST00086,3,127.78,383.34,15,0.45,2,60,22,0.073,799.55,Promising,2
CUST00087,2,102.95,205.9,8,0.32,3,90,137,0.038,330.13,Need Attention,1
CUST00088,5,108.13,540.65,22,0.54,3,36,32,0.042,1985.45,Potential Loyalists,3
CUST00089,3,98.3,294.9,30,0.13,1,60,21,0.015,1016.67,Potential Loyalists,3
CUST00090,4,95.01,380.04,19,0.1,2,45,60,0.138,846.29,Promising,2
CUST00091,7,100.68,704.76,5,0.71,2,25,25,0.045,1626.53,Potential Loyalists,3
CUST00092,6,65.66,393.96,7,0.34,5,30,18,0.019,998.39,Promising,2
CUST00093,6,66.6,399.6,3,0.53,5,30,60,0.006,893.71,Promising,2
CUST00094,4,131.63,526.52,2,0.52,1,45,82,0.011,607.52,Promising,2
CUST00095,1,214.06,214.06,8,0.4,3,180,177,0.091,324.3,Need Attention,1
CUST00096,1,109.28,109.28,31,0.42,2,180,143,0.002,390.8,Need Attention,1
CUST00097,9,60.85,547.65,5,0.3,3,20,15,0.02,1297.02,Potential Loyalists,3
CUST00098,6,119.98,719.88,8,0.53,3,30,44,0.052,1819.86,Potential Loyalists,3
CUST00099,5,26.44,132.2,7,0.54,3,36,42,0.066,318.98,Need Attention,1
CUST00100,2,68.92,137.84,11,0.15,4,90,15,0.069,245.96,Need Attention,1
CUST00101,11,65.29,718.19,33,0.57,1,16,15,0.002,3404.58,Loyal Customers,4
CUST00102,1,65.52,65.52,16,0.27,5,180,9,0.145,130.71,Need Attention,1
CUST00103,7,48.73,341.11,6,0.19,2,25,21,0.019,836.57,Promising,2
CUST00104,1,299.18,299.18,8,0.55,3,180,103,0.093,452.26,Need Attention,1
CUST00105,16,206.04,3296.64,4,0.61,1,11,9,0.1,6922.94,Champions,5
CUST00106,1,103.66,103.66,2,0.47,1,180,17,0.122,106.18,Need Attention,1
CUST00107,4,41.69,166.76,24,0.15,1,45,28,0.013,493.78,Need Attention,1
CUST00108,9,187.45,1687.05,30,0.43,1,20,37,0.015,7477.85,Champions,5
CUST00109,8,92.87,742.96,18,0.71,5,22,21,0.146,2220.71,Potential Loyalists,3
CUST00110,5,118.1,590.5,7,0.44,1,36,28,0.019,1496.47,Potential Loyalists,3
CUST00111,7,47.84,334.88,4,0.74,4,25,42,0.068,728.25,Promising,2
CUST00112,10,108.26,1082.6,5,0.44,3,18,32,0.019,2566.57,Loyal Customers,4
CUST00113,5,57.25,286.25,8,0.6,4,36,51,0.019,748.83,Promising,2
CUST00114,11,126.72,1393.92,18,0.72,1,16,30,0.019,4786.02,Loyal Customers,4
CUST00115,18,54.15,974.7,3,0.49,3,10,5,0.061,2059.3,Potential Loyalists,3
CUST00116,1,59.75,59.75,9,0.61,2,180,68,0.066,97.66,Need Attention,1
CUST00117,7,150.21,1051.47,19,0.69,2,25,9,0.013,3718.79,Loyal Customers,4
CUST00118,10,62.15,621.5,1,0.83,1,18,16,0.008,1284.43,Potential Loyalists,3
CUST00119,4,40.43,161.72,4,0.2,1,45,72,0.049,205.06,Need Attention,1
CUST00120,13,113.34,1473.42,6,0.89,4,13,18,0.015,3628.3,Loyal Customers,4
CUST00121,2,154.0,308.0,6,0.43,3,90,68,0.011,456.92,Need Attention,1
CUST00122,3,118.17,354.51,30,0.57,2,60,96,0.237,946.72,Promising,2
CUST00123,2,240.68,481.36,48,0.16,2,90,150,0.005,2394.77,Potential Loyalists,3
CUST00124,1,58.75,58.75,5,0.22,3,180,110,0.053,78.82,Need Attention,1
CUST00125,13,43.56,566.28,48,0.66,1,13,19,0.065,3176.83,Loyal Customers,4
CUST00126,1,94.52,94.52,43,0.15,1,180,103,0.022,423.69,Need Attention,1
CUST00127,13,98.01,1274.13,91,0.76,3,13,12,0.055,11538.84,Champions,5
CUST00128,1,52.78,52.78,4,0.44,2,180,57,0.04,67.56,Need Attention,1
CUST00129,4,148.87,595.48,9,0.2,1,45,18,0.022,1019.16,Potential Loyalists,3
CUST00130,1,197.92,197.92,9,0.29,3,180,131,0.008,343.59,Need Attention,1
CUST00131,1,74.95,74.95,4,0.2,2,180,127,0.034,96.54,Need Attention,1
CUST00132,5,55.93,279.65,15,0.43,5,36,12,0.002,907.04,Promising,2
CUST00133,2,75.08,150.16,6,0.48,2,90,13,0.023,220.06,Need Attention,1
CUST00134,3,162.98,488.94,5,0.09,1,60,111,0.023,676.73,Promising,2
CUST00135,2,113.87,227.74,2,0.4,2,90,29,0.087,242.58,Need Attention,1
CUST00136,1,87.88,87.88,29,0.25,3,180,40,0.143,257.32,Need Attention,1
CUST00137,2,168.0,336.0,4,0.54,3,90,161,0.086,409.47,Need Attention,1
CUST00138,2,99.59,199.18,2,0.14,1,90,41,0.058,218.9,Need Attention,1
CUST00139,1,50.25,50.25,29,0.2,3,180,175,0.075,158.81,Need Attention,1
CUST00140,7,197.69,1383.83,2,0.32,2,25,28,0.002,2992.3,Loyal Customers,4
CUST00141,2,157.07,314.14,9,0.24,1,90,153,0.018,539.85,Promising,2
CUST00142,2,41.73,83.46,1,0.05,3,90,17,0.018,88.79,Need Attention,1
CUST00143,3,106.65,319.95,7,0.41,1,60,50,0.033,489.87,Need Attention,1
CUST00144,4,85.5,342.0,20,0.24,2,45,49,0.043,872.78,Promising,2
CUST00145,7,31.3,219.1,19,0.77,1,25,39,0.013,774.9,Promising,2
CUST00146,14,69.85,977.9,11,0.64,3,12,15,0.036,2749.53,Loyal Customers,4
CUST00147,2,132.82,265.64,7,0.38,5,90,136,0.027,409.24,Need Attention,1
CUST00148,7,110.3,772.1,1,0.94,1,25,17,0.033,1555.46,Potential Loyalists,3
CUST00149,2,100.56,201.12,42,0.39,2,90,142,0.067,844.4,Promising,2
CUST00150,12,60.97,731.64,23,0.87,2,15,28,0.005,2851.26,Loyal Customers,4
CUST00151,17,131.43,2234.31,3,0.85,4,10,1,0.023,4911.57,Loyal Customers,4
CUST00152,1,110.96,110.96,2,0.1,4,180,175,0.023,126.48,Need Attention,1
CUST00153,7,65.39,457.73,2,0.09,2,25,47,0.068,924.31,Promising,2
CUST00154,6,46.59,279.54,13,0.54,1,30,8,0.112,765.38,Promising,2
CUST00155,10,55.59,555.9,40,0.68,4,18,35,0.008,2941.08,Loyal Customers,4
CUST00156,1,48.62,48.62,11,0.47,5,180,69,0.017,91.6,Need Attention,1
CUST00157,5,39.89,199.45,14,0.76,1,36,44,0.016,621.49,Promising,2
CUST00158,11,444.93,4894.23,6,0.78,2,16,8,0.009,12125.45,Champions,5
CUST00159,6,154.84,929.04,1,0.6,4,30,19,0.03,1877.43,Potential Loyalists,3
CUST00160,2,129.22,258.44,4,0.18,4,90,112,0.071,320.12,Need Attention,1
CUST00161,3,35.24,105.72,21,0.35,4,60,21,0.024,283.75,Need Attention,1
CUST00162,1,101.53,101.53,12,0.52,2,180,117,0.007,201.64,Need Attention,1
CUST00163,2,167.0,334.0,6,0.18,2,90,1,0.039,481.46,Need Attention,1
CUST00164,5,104.04,520.2,15,0.81,2,36,34,0.008,1677.12,Potential Loyalists,3
CUST00165,13,425.7,5534.1,16,0.8,4,13,17,0.034,17819.8,Champions,5
CUST00166,3,27.85,83.55,7,0.33,1,60,98,0.06,124.35,Need Attention,1
CUST00167,3,72.23,216.69,6,0.1,2,60,23,0.067,303.26,Need Attention,1
CUST00168,4,97.64,390.56,13,0.18,4,45,65,0.012,803.9,Promising,2
CUST00169,9,40.14,361.26,10,0.68,4,20,7,0.092,929.4,Promising,2
CUST00170,1,148.49,148.49,11,0.38,4,180,161,0.048,270.94,Need Attention,1
CUST00171,2,85.26,170.52,12,0.34,3,90,77,0.066,318.53,Need Attention,1
CUST00172,9,65.62,590.58,17,0.49,1,20,33,0.0,2017.82,Potential Loyalists,3
CUST00173,9,34.13,307.17,3,0.36,4,20,39,0.008,685.6,Promising,2
CUST00174,8,60.97,487.76,9,0.53,4,22,13,0.035,1294.39,Potential Loyalists,3
CUST00175,10,121.59,1215.9,10,0.95,3,18,10,0.052,3265.91,Loyal Customers,4
CUST00176,29,46.16,1338.64,30,0.79,2,6,6,0.048,5734.73,Champions,5
CUST00177,5,125.32,626.6,9,0.81,2,36,21,0.002,1719.7,Potential Loyalists,3
CUST00178,3,26.03,78.09,14,0.1,1,60,70,0.017,166.32,Need Attention,1
CUST00179,3,57.32,171.96,12,0.42,1,60,100,0.048,327.41,Need Attention,1
CUST00180,4,24.6,98.4,8,0.51,2,45,68,0.148,139.73,Need Attention,1
CUST00181,1,154.01,154.01,5,0.27,1,180,1,0.028,212.07,Need Attention,1
CUST00182,2,74.88,149.76,41,0.21,3,90,154,0.063,619.77,Promising,2
CUST00183,4,91.04,364.16,18,0.26,4,45,42,0.003,907.67,Promising,2
CUST00184,1,61.11,61.11,131,0.18,3,180,126,0.064,681.62,Promising,2
CUST00185,2,261.17,522.34,2,0.43,4,90,5,0.068,567.96,Promising,2
CUST00186,1,59.39,59.39,1,0.34,1,180,29,0.022,62.92,Need Attention,1
CUST00187,3,143.71,431.13,33,0.49,3,60,119,0.053,1531.05,Potential Loyalists,3
CUST00188,24,68.22,1637.28,8,0.33,1,7,6,0.002,4357.35,Loyal Customers,4
CUST00189,3,234.91,704.73,15,0.23,3,60,113,0.078,1461.96,Potential Loyalists,3
CUST00190,1,36.9,36.9,15,0.02,4,180,79,0.018,81.53,Need Attention,1
CUST00191,2,62.02,124.04,7,0.19,3,90,62,0.007,195.02,Need Attention,1
CUST00192,3,365.22,1095.66,12,0.56,1,60,8,0.029,2127.77,Potential Loyalists,3
CUST00193,5,119.18,595.9,26,0.69,2,36,31,0.091,2256.97,Potential Loyalists,3
CUST00194,4,44.54,178.16,8,0.55,1,45,73,0.053,281.2,Need Attention,1
CUST00195,1,591.49,591.49,25,0.2,3,180,21,0.146,1557.49,Potential Loyalists,3
CUST00196,12,79.62,955.44,7,0.64,2,15,3,0.054,2334.94,Potential Loyalists,3
CUST00197,2,114.92,229.84,3,0.13,1,90,125,0.267,210.59,Need Attention,1
CUST00198,2,150.5,301.0,15,0.3,3,90,18,0.075,626.46,Promising,2
CUST00199,4,53.03,212.12,7,0.17,4,45,69,0.145,287.16,Need Attention,1
CUST00200,4,129.69,518.76,5,0.18,1,45,17,0.021,719.48,Promising,2
CUST00201,2,51.22,102.44,20,0.41,5,90,33,0.046,260.61,Need Attention,1
CUST00202,2,110.06,220.12,9,0.25,3,90,169,0.011,380.97,Need Attention,1
CUST00203,6,121.91,731.46,26,0.92,2,30,31,0.006,3029.46,Loyal Customers,4
CUST00204,2,90.85,181.7,23,0.09,1,90,141,0.027,515.65,Promising,2
CUST00205,2,152.11,304.22,11,0.32,1,90,43,0.048,555.1,Promising,2
CUST00206,18,40.57,730.26,15,0.46,1,10,9,0.069,2209.58,Potential Loyalists,3
CUST00207,3,68.71,206.13,9,0.54,2,60,68,0.003,359.65,Need Attention,1
CUST00208,13,74.29,965.77,6,0.51,3,13,20,0.046,2303.36,Potential Loyalists,3
CUST00209,6,52.39,314.34,3,0.52,4,30,28,0.02,693.12,Promising,2
CUST00210,1,96.68,96.68,1,0.12,2,180,55,0.046,99.92,Need Attention,1
CUST00211,4,76.88,307.52,9,0.25,2,45,70,0.183,439.68,Need Attention,1
CUST00212,3,101.02,303.06,24,0.26,2,60,97,0.07,845.54,Promising,2
CUST00213,5,104.21,521.05,7,0.83,1,36,26,0.034,1300.28,Potential Loyalists,3
CUST00214,2,87.82,175.64,15,0.42,1,90,80,0.054,373.85,Need Attention,1
CUST00215,1,104.37,104.37,14,0.58,4,180,103,0.014,222.97,Need Attention,1
CUST00216,6,130.58,783.48,3,0.88,3,30,43,0.004,1755.78,Potential Loyalists,3
CUST00217,3,205.14,615.42,1,0.52,1,60,84,0.112,592.03,Promising,2
CUST00218,6,112.47,674.82,9,0.36,3,30,24,0.218,1451.2,Potential Loyalists,3
CUST00219,6,91.06,546.36,4,0.83,3,30,29,0.007,1265.92,Potential Loyalists,3
CUST00220,4,229.83,919.32,16,0.37,4,45,67,0.055,2027.1,Potential Loyalists,3
CUST00221,3,86.52,259.56,73,0.3,5,60,58,0.003,1833.03,Potential Loyalists,3
CUST00222,1,34.4,34.4,11,0.53,2,180,31,0.033,63.76,Need Attention,1
CUST00223,1,139.55,139.55,9,0.12,5,180,64,0.044,233.47,Need Attention,1
CUST00224,7,437.26,3060.82,4,0.76,2,25,15,0.028,6941.94,Champions,5
CUST00225,1,111.96,111.96,21,0.2,4,180,17,0.073,285.41,Need Attention,1
CUST00226,11,140.38,1544.18,3,0.93,1,16,22,0.006,3453.56,Loyal Customers,4
CUST00227,2,91.88,183.76,3,0.07,2,90,6,0.015,226.25,Need Attention,1
CUST00228,9,127.46,1147.14,5,0.55,3,20,38,0.003,2763.94,Loyal Customers,4
CUST00229,2,123.16,246.32,13,0.68,3,90,142,0.005,510.6,Promising,2
CUST00230,1,98.91,98.91,26,0.39,4,180,59,0.014,308.83,Need Attention,1
CUST00231,2,46.52,93.04,14,0.32,2,90,151,0.009,199.77,Need Attention,1
CUST00232,2,214.14,428.28,8,0.25,5,90,57,0.002,712.37,Promising,2
CUST00233,8,115.88,927.04,14,0.74,1,22,1,0.02,2876.91,Loyal Customers,4
CUST00234,6,146.34,878.04,4,0.52,1,30,5,0.051,1944.27,Potential Loyalists,3
CUST00235,1,115.03,115.03,3,0.06,1,180,162,0.087,131.28,Need Attention,1
CUST00236,22,60.68,1334.96,5,0.56,3,8,2,0.01,3193.89,Loyal Customers,4
CUST00237,3,105.23,315.69,3,0.23,1,60,30,0.025,384.75,Need Attention,1
CUST00238,2,249.86,499.72,2,0.06,2,90,18,0.071,541.61,Promising,2
CUST00239,2,100.09,200.18,5,0.13,1,90,9,0.115,250.98,Need Attention,1
CUST00240,13,165.37,2149.81,1,0.57,1,13,11,0.008,4442.94,Loyal Customers,4
CUST00241,7,110.43,773.01,13,0.57,3,25,5,0.01,2359.61,Potential Loyalists,3
CUST00242,4,121.33,485.32,6,0.33,3,45,66,0.115,644.26,Promising,2
CUST00243,3,34.33,102.99,51,0.39,1,60,31,0.118,476.9,Need Attention,1
CUST00244,2,53.39,106.78,49,0.27,4,90,72,0.073,503.17,Promising,2
CUST00245,4,140.56,562.24,14,0.09,2,45,86,0.082,1118.3,Potential Loyalists,3
CUST00246,1,106.8,106.8,20,0.24,1,180,125,0.044,272.27,Need Attention,1
CUST00247,26,56.83,1477.58,5,0.82,4,6,4,0.006,3549.39,Loyal Customers,4
CUST00248,21,48.86,1026.06,4,0.4,3,8,5,0.005,2382.17,Potential Loyalists,3
CUST00249,1,54.86,54.86,172,0.34,2,180,147,0.122,738.56,Promising,2
CUST00250,1,39.72,39.72,18,0.29,2,180,148,0.013,98.01,Need Attention,1
CUST00251,10,120.25,1202.5,13,0.86,1,18,31,0.053,3511.2,Loyal Customers,4
CUST00252,4,256.41,1025.64,6,0.35,3,45,32,0.015,1515.38,Potential Loyalists,3
CUST00253,1,64.14,64.14,25,0.43,3,180,122,0.017,194.4,Need Attention,1
CUST00254,11,77.89,856.79,15,0.92,1,16,27,0.054,2634.2,Loyal Customers,4
CUST00255,9,78.2,703.8,9,0.37,3,20,13,0.066,1807.71,Potential Loyalists,3
CUST00256,13,97.44,1266.72,12,0.48,1,13,4,0.102,3412.54,Loyal Customers,4
CUST00257,2,86.65,173.3,31,0.22,5,90,25,0.003,619.13,Promising,2
CUST00258,3,60.46,181.38,6,0.04,2,60,85,0.004,270.98,Need Attention,1
CUST00259,1,195.12,195.12,23,0.11,3,180,111,0.029,552.6,Promising,2
CUST00260,6,94.66,567.96,36,0.81,1,30,23,0.01,2811.4,Loyal Customers,4
CUST00261,6,124.57,747.42,38,0.66,1,30,28,0.04,3707.2,Loyal Customers,4
CUST00262,10,46.82,468.2,4,0.83,1,18,27,0.005,1087.0,Potential Loyalists,3
CUST00263,17,175.04,2975.68,16,0.88,3,10,15,0.024,9680.88,Champions,5
CUST00264,2,118.86,237.72,2,0.55,3,90,14,0.01,274.57,Need Attention,1
CUST00265,2,68.3,136.6,8,0.18,3,90,173,0.017,223.8,Need Attention,1
CUST00266,3,110.06,330.18,12,0.53,5,60,84,0.017,649.13,Promising,2
CUST00267,7,84.91,594.37,5,0.84,3,25,42,0.01,1422.03,Potential Loyalists,3
CUST00268,7,113.53,794.71,26,0.69,3,25,7,0.205,2632.48,Loyal Customers,4
CUST00269,18,39.95,719.1,5,0.68,2,10,2,0.009,1722.18,Potential Loyalists,3
CUST00270,7,63.09,441.63,10,0.87,4,25,26,0.006,1243.78,Potential Loyalists,3
CUST00271,4,40.98,163.92,21,0.45,3,45,44,0.024,439.96,Need Attention,1
CUST00272,6,228.72,1372.32,21,0.59,2,30,52,0.024,5022.69,Champions,5
CUST00273,1,98.56,98.56,19,0.04,2,180,28,0.004,253.59,Need Attention,1
CUST00274,5,45.68,228.4,16,0.82,5,36,32,0.001,760.57,Promising,2
CUST00275,9,184.1,1656.9,8,0.68,4,20,13,0.102,3967.72,Loyal Customers,4
CUST00276,3,80.96,242.88,1,0.21,5,60,25,0.068,245.23,Need Attention,1
CUST00277,6,62.33,373.98,25,0.61,2,30,35,0.059,1436.99,Potential Loyalists,3
CUST00278,6,88.34,530.04,3,0.93,3,30,29,0.032,1154.43,Potential Loyalists,3
CUST00279,1,54.16,54.16,8,0.06,2,180,36,0.027,87.83,Need Attention,1
CUST00280,19,120.21,2283.99,13,0.72,2,9,14,0.054,6662.02,Champions,5
CUST00281,13,86.73,1127.49,23,0.66,1,13,6,0.018,4336.51,Loyal Customers,4
CUST00282,5,42.39,211.95,6,0.83,3,36,36,0.011,524.05,Promising,2
CUST00283,2,54.47,108.94,4,0.16,3,90,119,0.008,144.09,Need Attention,1
CUST00284,2,184.4,368.8,10,0.18,1,90,64,0.011,668.7,Promising,2
CUST00285,2,52.88,105.76,15,0.47,1,90,20,0.043,227.73,Need Attention,1
CUST00286,2,57.99,115.98,8,0.47,2,90,114,0.04,185.57,Need Attention,1
CUST00287,2,207.06,414.12,6,0.39,3,90,141,0.138,535.46,Promising,2
CUST00288,2,90.12,180.24,9,0.21,2,90,26,0.013,311.32,Need Attention,1
CUST00289,2,109.7,219.4,1,0.27,3,90,13,0.008,235.78,Need Attention,1
CUST00290,8,46.02,368.16,18,0.61,1,22,42,0.016,1267.94,Potential Loyalists,3
CUST00291,4,104.73,418.92,8,0.43,4,45,70,0.079,643.04,Promising,2
CUST00292,1,49.97,49.97,24,0.49,2,180,4,0.022,146.61,Need Attention,1
CUST00293,7,80.29,562.03,12,0.43,1,25,6,0.028,1638.88,Potential Loyalists,3
CUST00294,9,146.88,1321.92,21,0.8,4,20,16,0.073,4595.32,Loyal Customers,4
CUST00295,12,46.35,556.2,3,0.69,1,15,6,0.096,1131.31,Potential Loyalists,3
CUST00296,4,29.65,118.6,19,0.04,3,45,53,0.051,290.76,Need Attention,1
CUST00297,5,193.14,965.7,18,0.57,3,36,63,0.028,3285.31,Loyal Customers,4
CUST00298,5,59.88,299.4,13,0.79,4,36,62,0.104,827.14,Promising,2
CUST00299,1,53.72,53.72,5,0.71,2,180,55,0.071,70.7,Need Attention,1
CUST00300,1,73.91,73.91,28,0.34,1,180,103,0.048,234.54,Need Attention,1
CUST00301,3,179.89,539.67,1,0.18,2,60,116,0.017,574.7,Promising,2
CUST00302,5,92.94,464.7,50,0.83,4,36,8,0.055,2708.04,Loyal Customers,4
CUST00303,8,26.31,210.48,28,0.86,1,22,11,0.016,897.49,Promising,2
CUST00304,12,194.8,2337.6,7,0.45,2,15,13,0.01,5978.41,Champions,5
CUST00305,1,109.18,109.18,52,0.24,4,180,1,0.052,552.01,Promising,2
CUST00306,16,64.27,1028.32,66,0.53,4,11,13,0.034,7450.18,Champions,5
CUST00307,1,46.05,46.05,7,0.15,3,180,68,0.038,70.14,Need Attention,1
