customer_id,plan_type,subscription_start_date,months_subscribed,monthly_login_frequency,feature_usage_score,support_tickets_30d,payment_failures,previous_renewal_count,renewal_probability_score,did_renew
CUST00256,Pro,2024-03-06,22,10,0.47,0,1,1,0.76,0
CUST00257,Basic,2024-01-24,22,4,0.01,2,0,1,0.6,1
CUST00258,Basic,2023-06-28,20,7,0.56,0,0,1,0.74,1
CUST00259,Basic,2024-08-05,10,6,0.68,1,0,0,0.74,0
CUST00260,Pro,2024-02-20,18,8,0.4,1,0,1,0.74,1
CUST00261,Basic,2023-01-01,10,4,0.17,3,0,0,0.6,1
CUST00262,Basic,2023-10-21,7,4,0.19,0,0,0,0.66,1
CUST00263,Enterprise,2024-03-16,19,13,0.28,3,0,1,0.86,1
CUST00264,Pro,2023-11-26,15,12,0.26,0,0,1,0.86,1
CUST00265,Enterprise,2024-03-28,15,21,0.05,3,2,1,0.76,1
CUST00266,Pro,2023-08-07,17,8,0.21,2,0,1,0.68,1
CUST00267,Basic,2024-04-29,24,3,0.01,1,0,2,0.71,0
CUST00268,Enterprise,2023-06-23,22,11,0.48,0,0,1,0.92,1
CUST00269,Basic,2023-03-28,10,2,0.84,0,1,0,0.64,1
CUST00270,Pro,2024-06-11,22,8,0.33,0,0,1,0.74,1
CUST00271,Basic,2023-12-10,3,4,0.29,1,0,0,0.66,1
CUST00272,Basic,2023-08-29,22,2,0.01,1,1,1,0.56,0
CUST00273,Basic,2023-11-14,8,3,0.54,1,0,0,0.74,1
CUST00274,Basic,2023-07-23,5,2,0.53,0,0,0,0.74,1
CUST00275,Basic,2023-01-26,2,4,0.28,3,1,0,0.5,1
CUST00276,Enterprise,2023-09-08,16,9,0.55,1,1,1,0.78,1
CUST00277,Pro,2023-03-16,15,10,0.17,2,0,1,0.8,1
CUST00278,Basic,2024-02-29,21,3,0.06,0,0,1,0.66,0
CUST00279,Enterprise,2024-08-12,7,13,0.88,0,0,0,0.95,1
CUST00280,Basic,2024-01-29,16,8,0.47,0,0,1,0.66,0
CUST00281,Basic,2024-02-14,8,3,0.08,2,0,0,0.6,0
CUST00282,Pro,2023-06-01,21,1,0.54,0,1,1,0.72,0
CUST00283,Pro,2023-01-06,4,7,0.25,4,0,0,0.68,1
CUST00284,Pro,2024-03-11,8,10,0.64,0,0,0,0.94,1
CUST00285,Pro,2023-06-30,23,7,0.44,0,0,1,0.74,0
CUST00286,Basic,2024-06-14,15,4,0.61,0,0,1,0.74,1
CUST00287,Pro,2023-02-21,18,6,0.34,0,0,1,0.74,1
CUST00288,Pro,2023-09-13,4,8,0.79,1,0,0,0.82,1
CUST00289,Basic,2024-04-12,5,6,0.44,0,0,0,0.66,1
CUST00290,Basic,2024-04-20,22,2,0.14,1,1,1,0.56,1
CUST00291,Basic,2024-06-27,18,4,0.03,1,2,1,0.56,0
CUST00292,Pro,2023-11-21,15,11,0.5,1,2,1,0.84,1
CUST00293,Pro,2024-05-31,14,5,0.11,1,0,1,0.74,1
CUST00294,Pro,2024-07-15,15,14,0.14,2,0,1,0.8,1
CUST00295,Basic,2023-06-12,24,2,0.17,1,1,2,0.61,1
CUST00296,Pro,2024-05-01,15,7,0.12,3,0,1,0.68,1
CUST00297,Basic,2023-09-23,8,6,0.62,1,0,0,0.74,1
CUST00298,Basic,2023-10-11,17,1,0.06,3,0,1,0.6,1
CUST00299,Basic,2024-05-11,21,6,0.17,1,0,1,0.66,0
CUST00300,Basic,2023-09-02,9,8,0.36,0,0,0,0.66,0
CUST00301,Basic,2024-03-26,3,3,0.7,2,0,0,0.68,1
CUST00302,Basic,2023-10-20,8,4,0.08,1,0,0,0.66,0
CUST00303,Pro,2023-10-06,11,9,0.88,0,0,0,0.82,1
CUST00304,Basic,2023-11-24,18,4,0.26,1,1,1,0.56,1
CUST00305,Basic,2023-03-24,5,9,0.32,0,0,0,0.66,1
CUST00306,Pro,2023-06-04,8,4,0.06,4,0,0,0.68,0
CUST00307,Basic,2024-01-28,23,8,0.35,0,1,1,0.56,1
CUST00308,Pro,2023-06-06,23,12,0.63,1,0,1,0.94,1
CUST00309,Basic,2023-08-08,3,5,0.09,4,0,0,0.6,0
CUST00310,Basic,2024-02-29,14,2,0.07,3,0,1,0.6,1
CUST00311,Pro,2023-12-05,18,10,0.11,3,0,1,0.8,1
CUST00312,Pro,2024-04-22,14,8,0.15,2,0,1,0.68,0
CUST00313,Pro,2023-03-05,7,9,0.44,0,2,0,0.64,1
CUST00314,Pro,2024-03-06,13,3,0.39,0,0,1,0.74,1
CUST00315,Basic,2024-08-21,23,5,0.02,2,1,1,0.5,0
CUST00316,Basic,2023-01-21,19,4,0.18,0,0,1,0.66,1
CUST00317,Basic,2024-01-25,16,0,0.5,1,0,1,0.74,1
CUST00318,Pro,2023-01-07,12,8,0.66,1,1,1,0.72,0
CUST00319,Basic,2023-11-02,13,7,0.53,0,0,1,0.74,0
CUST00320,Basic,2024-03-05,18,1,0.19,0,0,1,0.66,1
CUST00321,Basic,2024-07-13,20,5,0.66,0,0,1,0.74,1
CUST00322,Basic,2023-08-14,16,3,0.02,2,0,1,0.6,0
CUST00323,Basic,2023-08-13,9,7,0.8,0,0,0,0.74,1
CUST00324,Basic,2024-03-22,16,5,0.1,1,0,1,0.66,0
CUST00325,Enterprise,2023-01-30,13,10,0.51,1,2,1,0.9,1
CUST00326,Pro,2023-12-11,22,9,0.3,0,0,1,0.74,0
CUST00327,Basic,2024-02-19,24,2,0.07,2,0,2,0.65,0
CUST00328,Basic,2023-06-19,15,4,0.15,0,0,1,0.66,1
CUST00329,Basic,2023-05-11,20,1,0.12,2,2,1,0.5,1
CUST00330,Pro,2024-06-30,1,10,0.27,0,0,0,0.86,1
CUST00331,Basic,2024-02-08,19,7,0.43,0,0,1,0.66,0
CUST00332,Basic,2024-07-31,22,7,0.55,0,0,1,0.74,1
CUST00333,Pro,2023-01-28,3,11,0.81,0,0,0,0.94,1
CUST00334,Basic,2024-03-14,5,5,0.23,4,0,0,0.6,1
CUST00335,Enterprise,2024-04-17,6,7,0.3,1,1,0,0.7,1
CUST00336,Pro,2023-02-21,9,8,0.4,0,0,0,0.74,0
CUST00337,Pro,2024-01-24,11,6,0.58,0,0,0,0.82,0
CUST00338,Pro,2023-08-05,15,11,0.23,2,0,1,0.8,1
CUST00339,Enterprise,2023-12-01,11,18,0.71,0,1,0,0.9,1
CUST00340,Pro,2024-01-24,9,9,0.34,0,0,0,0.74,1
CUST00341,Basic,2024-03-07,9,2,0.01,1,0,0,0.66,1
CUST00342,Pro,2023-03-25,16,5,0.59,1,0,1,0.82,1
CUST00343,Pro,2023-01-20,24,9,0.09,2,0,2,0.73,0
CUST00344,Basic,2024-07-06,2,4,0.02,4,0,0,0.6,1
CUST00345,Enterprise,2023-12-25,8,15,0.38,0,0,0,0.92,1
CUST00346,Basic,2023-03-12,21,3,0.08,2,0,1,0.6,1
CUST00347,Basic,2023-02-11,1,5,0.59,0,0,0,0.74,1
CUST00348,Pro,2023-09-11,7,7,0.48,1,1,0,0.64,1
CUST00349,Enterprise,2023-01-21,20,9,0.15,1,0,1,0.8,1
CUST00350,Basic,2023-06-06,8,3,0.12,2,0,0,0.6,0
CUST00351,Pro,2023-05-10,16,11,0.67,0,1,1,0.84,1
CUST00352,Pro,2023-04-28,19,8,0.26,1,0,1,0.74,0
CUST00353,Basic,2023-08-12,15,7,0.4,0,0,1,0.66,0
CUST00354,Basic,2023-09-20,12,3,0.25,3,0,1,0.6,1
CUST00355,Enterprise,2023-06-21,20,17,0.48,0,0,1,0.92,0
CUST00356,Basic,2023-04-28,6,5,0.2,1,0,0,0.66,0
CUST00357,Enterprise,2023-11-15,4,10,0.32,1,2,0,0.82,1
CUST00358,Pro,2024-08-15,1,12,0.69,0,0,0,0.94,1
CUST00359,Basic,2023-11-16,19,5,0.19,3,0,1,0.6,0
CUST00360,Pro,2024-01-20,13,9,0.91,1,0,1,0.82,1
CUST00361,Basic,2023-07-23,3,4,0.11,2,0,0,0.6,0
CUST00362,Basic,2023-09-06,4,4,0.01,1,1,0,0.56,1
CUST00363,Basic,2023-11-05,22,2,0.06,2,0,1,0.6,1
CUST00364,Basic,2023-05-04,19,4,0.76,1,1,1,0.64,1
CUST00365,Pro,2023-02-12,12,3,0.27,2,1,1,0.58,1
CUST00366,Basic,2024-06-29,14,7,0.27,1,1,1,0.56,0
CUST00367,Pro,2024-01-15,3,5,0.37,0,1,0,0.64,0
CUST00368,Pro,2024-06-02,21,10,0.32,0,0,1,0.86,1
CUST00369,Pro,2023-12-16,1,7,0.4,0,0,0,0.74,1
CUST00370,Basic,2024-03-06,16,2,0.49,1,0,1,0.66,0
CUST00371,Basic,2023-04-19,14,4,0.39,1,1,1,0.56,0
