response_id,customer_id,campaign_name,campaign_type,sent_date,delivered,opened,clicked,converted,unsubscribed
RESP000053,CUST00014,Black Friday 2024,Email,2024-10-09,True,True,False,False,False
RESP000054,CUST00015,Welcome Series,Email,2024-11-30,True,False,False,False,False
RESP000055,CUST00015,Win-back Campaign Q3,Display Ads,2024-07-31,True,False,False,False,False
RESP000056,CUST00015,Spring Sale 2024,SMS,2025-07-09,True,True,True,False,False
RESP000057,CUST00016,Spring Sale 2024,Email,2020-06-01,False,False,False,False,False
RESP000058,CUST00016,Welcome Series,Push Notification,2020-10-19,True,True,False,False,False
RESP000059,CUST00016,Welcome Series,Email,2020-04-20,True,False,False,False,False
RESP000060,CUST00017,New Year Promotion 2025,SMS,2022-11-21,True,False,False,False,False
RESP000061,CUST00017,Loyalty Rewards Program,SMS,2021-12-13,True,False,False,False,False
RESP000062,CUST00018,Product Launch - Electronics,SMS,2022-08-16,True,False,False,False,False
RESP000063,CUST00018,Welcome Series,Social Media,2022-04-23,True,True,False,False,False
RESP000064,CUST00018,Summer Collection Launch,Email,2024-03-31,True,True,False,False,False
RESP000065,CUST00018,Flash Sale Weekend,Push Notification,2023-03-18,True,True,False,False,False
RESP000066,CUST00018,Holiday Gift Guide 2024,Email,2022-10-14,True,False,False,False,False
RESP000067,CUST00018,Win-back Campaign Q3,Email,2022-08-15,True,False,False,False,False
RESP000068,CUST00019,Welcome Series,Email,2023-04-25,True,False,False,False,False
RESP000069,CUST00019,Black Friday 2024,SMS,2023-12-20,True,True,False,False,False
RESP000070,CUST00019,Win-back Campaign Q3,Email,2023-06-11,True,False,False,False,False
RESP000071,CUST00020,Loyalty Rewards Program,SMS,2025-01-23,True,False,False,False,False
RESP000072,CUST00020,Holiday Gift Guide 2024,Email,2024-01-19,True,True,True,True,False
RESP000073,CUST00020,Product Launch - Electronics,Email,2024-10-30,False,False,False,False,False
RESP000074,CUST00020,Loyalty Rewards Program,Email,2024-09-22,True,True,False,False,False
RESP000075,CUST00020,Win-back Campaign Q3,Email,2025-05-14,True,False,False,False,False
RESP000076,CUST00021,Loyalty Rewards Program,Display Ads,2021-04-30,True,False,False,False,False
RESP000077,CUST00021,New Year Promotion 2025,Email,2022-01-24,True,True,True,False,False
RESP000078,CUST00021,Loyalty Rewards Program,SMS,2022-09-25,True,False,False,False,False
RESP000079,CUST00021,Product Launch - Electronics,Email,2021-12-25,False,False,False,False,False
RESP000080,CUST00021,Spring Sale 2024,SMS,2021-11-13,True,True,False,False,False
RESP000081,CUST00021,Loyalty Rewards Program,Email,2023-03-26,False,False,False,False,False
RESP000082,CUST00022,Spring Sale 2024,Push Notification,2023-07-26,True,True,False,False,False
RESP000083,CUST00022,Back to School 2024,Email,2022-10-30,True,False,False,False,False
RESP000084,CUST00022,Product Launch - Electronics,Email,2021-11-20,True,True,False,False,False
RESP000085,CUST00023,Loyalty Rewards Program,Email,2023-06-11,True,False,False,False,False
RESP000086,CUST00023,New Year Promotion 2025,Email,2022-05-08,False,False,False,False,False
RESP000087,CUST00023,Flash Sale Weekend,SMS,2023-05-27,True,True,True,False,False
RESP000088,CUST00023,Spring Sale 2024,Push Notification,2024-01-05,False,False,False,False,False
RESP000089,CUST00023,Customer Appreciation Week,Email,2023-10-05,True,False,False,False,False
RESP000090,CUST00023,Back to School 2024,SMS,2022-10-21,True,False,False,False,False
RESP000091,CUST00024,Spring Sale 2024,SMS,2023-04-03,True,False,False,False,False
RESP000092,CUST00024,Summer Collection Launch,Email,2023-09-10,True,False,False,False,False
RESP000093,CUST00024,Holiday Gift Guide 2024,Display Ads,2022-12-04,True,False,False,False,False
RESP000094,CUST00025,Welcome Series,Push Notification,2023-10-08,True,False,False,False,False
RESP000095,CUST00025,Win-back Campaign Q3,Push Notification,2024-11-16,True,False,False,False,False
RESP000096,CUST00025,Back to School 2024,Display Ads,2025-04-20,True,False,False,False,False
RESP000097,CUST00026,Summer Collection Launch,Email,2025-02-24,True,False,False,False,False
RESP000098,CUST00026,Holiday Gift Guide 2024,SMS,2025-07-11,True,False,False,False,False
RESP000099,CUST00026,Back to School 2024,Email,2025-07-28,True,True,False,False,False
RESP000100,CUST00026,Back to School 2024,Social Media,2025-05-23,True,False,False,False,False
RESP000101,CUST00026,Black Friday 2024,Display Ads,2025-09-14,True,True,False,False,False
RESP000102,CUST00026,Welcome Series,Email,2025-02-15,True,False,False,False,False
RESP000103,CUST00027,Black Friday 2024,SMS,2022-07-02,True,False,False,False,False
RESP000104,CUST00027,New Year Promotion 2025,Email,2022-12-09,False,False,False,False,False
RESP000105,CUST00027,Summer Collection Launch,Email,2022-07-24,False,False,False,False,False
RESP000106,CUST00027,New Year Promotion 2025,Email,2023-07-08,True,False,False,False,False
RESP000107,CUST00028,Loyalty Rewards Program,Push Notification,2022-03-25,True,False,False,False,False
RESP000108,CUST00028,Summer Collection Launch,Social Media,2023-09-10,True,False,False,False,False
RESP000109,CUST00028,Black Friday 2024,Push Notification,2023-04-01,True,False,False,False,False
RESP000110,CUST00029,Spring Sale 2024,SMS,2024-12-28,True,True,False,False,False
RESP000111,CUST00029,Holiday Gift Guide 2024,Email,2024-07-18,True,False,False,False,False
RESP000112,CUST00029,Spring Sale 2024,Social Media,2025-10-22,True,False,False,False,False
RESP000113,CUST00030,Product Launch - Electronics,Display Ads,2021-02-08,True,False,False,False,False
RESP000114,CUST00030,Customer Appreciation Week,Email,2021-11-23,True,True,False,False,False
RESP000115,CUST00030,Product Launch - Electronics,Display Ads,2020-12-11,True,False,False,False,False
RESP000116,CUST00030,Win-back Campaign Q3,SMS,2021-12-29,True,False,False,False,False
RESP000117,CUST00031,Product Launch - Electronics,Display Ads,2024-11-22,True,False,False,False,True
RESP000118,CUST00031,Back to School 2024,Display Ads,2024-07-13,True,True,True,False,False
RESP000119,CUST00031,Flash Sale Weekend,Display Ads,2025-08-24,True,True,False,False,False
RESP000120,CUST00032,Win-back Campaign Q3,Email,2024-08-27,True,False,False,False,False
RESP000121,CUST00032,Summer Collection Launch,Email,2025-10-11,True,True,False,False,False
RESP000122,CUST00032,Back to School 2024,Push Notification,2025-09-09,True,False,False,False,False
RESP000123,CUST00033,New Year Promotion 2025,SMS,2022-12-17,True,False,False,False,False
RESP000124,CUST00033,Spring Sale 2024,Email,2024-02-17,True,False,False,False,False
RESP000125,CUST00034,Product Launch - Electronics,SMS,2022-05-29,False,False,False,False,False
RESP000126,CUST00034,New Year Promotion 2025,Email,2023-02-11,False,False,False,False,False
RESP000127,CUST00034,Win-back Campaign Q3,Email,2022-11-01,True,True,False,False,False
RESP000128,CUST00034,Flash Sale Weekend,Email,2024-02-14,True,False,False,False,False
RESP000129,CUST00035,Welcome Series,Push Notification,2022-03-08,True,False,False,False,False
RESP000130,CUST00035,Welcome Series,Display Ads,2021-06-23,True,False,False,False,False
RESP000131,CUST00035,Holiday Gift Guide 2024,SMS,2021-05-07,True,False,False,False,False
RESP000132,CUST00035,Summer Collection Launch,SMS,2021-07-04,False,False,False,False,False
RESP000133,CUST00035,New Year Promotion 2025,Display Ads,2021-01-10,True,False,False,False,False
RESP000134,CUST00035,Customer Appreciation Week,Display Ads,2020-07-22,True,False,False,False,False
RESP000135,CUST00036,Spring Sale 2024,SMS,2023-03-24,True,True,True,False,False
RESP000136,CUST00036,Win-back Campaign Q3,Email,2023-08-12,True,False,False,False,False
RESP000137,CUST00036,Win-back Campaign Q3,SMS,2023-10-01,True,False,False,False,False
RESP000138,CUST00036,Welcome Series,SMS,2023-06-02,True,False,False,False,False
RESP000139,CUST00036,Customer Appreciation Week,SMS,2023-07-24,False,False,False,False,False
RESP000140,CUST00037,Spring Sale 2024,Push Notification,2021-01-11,True,False,False,False,False
RESP000141,CUST00037,Welcome Series,Social Media,2021-07-09,True,False,False,False,False
RESP000142,CUST00037,New Year Promotion 2025,SMS,2022-05-07,True,False,False,False,False
RESP000143,CUST00037,Summer Collection Launch,Email,2022-02-19,True,False,False,False,False
RESP000144,CUST00037,Summer Collection Launch,Social Media,2021-04-29,True,True,False,False,False
RESP000145,CUST00038,Back to School 2024,Social Media,2022-04-21,False,False,False,False,False
RESP000146,CUST00038,Win-back Campaign Q3,Email,2022-05-19,True,False,False,False,False
RESP000147,CUST00038,Loyalty Rewards Program,SMS,2023-08-05,True,False,False,False,False
RESP000148,CUST00038,Welcome Series,SMS,2023-01-19,True,False,False,False,False
RESP000149,CUST00038,Product Launch - Electronics,Push Notification,2022-04-22,True,True,True,False,False
RESP000150,CUST00038,Loyalty Rewards Program,Email,2023-06-17,True,False,False,False,False
RESP000151,CUST00039,Summer Collection Launch,Display Ads,2020-04-29,True,False,False,False,False
RESP000152,CUST00039,Back to School 2024,Push Notification,2020-07-13,True,False,False,False,False
RESP000153,CUST00039,Product Launch - Electronics,SMS,2021-02-14,True,False,False,False,False
RESP000154,CUST00041,Win-back Campaign Q3,Email,2025-03-13,True,True,False,False,False
RESP000155,CUST00041,New Year Promotion 2025,Push Notification,2025-04-18,True,False,False,False,False
RESP000156,CUST00041,Summer Collection Launch,Email,2025-03-04,True,False,False,False,False
RESP000157,CUST00042,New Year Promotion 2025,Email,2024-12-31,True,False,False,False,False
RESP000158,CUST00042,Holiday Gift Guide 2024,Email,2025-06-01,True,True,True,False,False
RESP000159,CUST00042,Flash Sale Weekend,Email,2025-07-04,True,False,False,False,False
RESP000160,CUST00042,Flash Sale Weekend,Display Ads,2025-05-24,True,False,False,False,False
RESP000161,CUST00042,Customer Appreciation Week,Display Ads,2024-11-28,True,False,False,False,False
RESP000162,CUST00042,Summer Collection Launch,Email,2025-05-08,True,False,False,False,False
RESP000163,CUST00043,Loyalty Rewards Program,SMS,2024-01-23,True,False,False,False,False
RESP000164,CUST00043,Back to School 2024,Display Ads,2024-07-16,True,False,False,False,False
RESP000165,CUST00043,Loyalty Rewards Program,Social Media,2023-04-27,True,False,False,False,False
RESP000166,CUST00044,Summer Collection Launch,Email,2023-10-09,True,False,False,False,False
RESP000167,CUST00044,Holiday Gift Guide 2024,SMS,2022-07-15,True,True,False,False,False
RESP000168,CUST00044,Loyalty Rewards Program,Push Notification,2022-04-19,True,False,False,False,False
RESP000169,CUST00045,Customer Appreciation Week,Email,2023-10-15,True,False,False,False,False
RESP000170,CUST00045,Flash Sale Weekend,Email,2023-07-27,True,False,False,False,False
RESP000171,CUST00045,Back to School 2024,Email,2023-10-15,True,False,False,False,False
RESP000172,CUST00045,Summer Collection Launch,Display Ads,2023-03-01,True,True,True,False,False
RESP000173,CUST00045,Spring Sale 2024,Display Ads,2022-01-24,False,False,False,False,False
RESP000174,CUST00045,Win-back Campaign Q3,Display Ads,2022-05-31,True,False,False,False,False
RESP000175,CUST00045,Flash Sale Weekend,SMS,2022-02-03,True,False,False,False,False
RESP000176,CUST00046,Flash Sale Weekend,Email,2022-09-29,True,True,False,False,True
RESP000177,CUST00046,Loyalty Rewards Program,Email,2022-09-08,True,False,False,False,False
RESP000178,CUST00046,Product Launch - Electronics,Social Media,2022-05-04,True,False,False,False,False
RESP000179,CUST00046,Welcome Series,Email,2022-12-06,False,False,False,False,False
RESP000180,CUST00046,Black Friday 2024,Email,2023-03-23,True,False,False,False,False
RESP000181,CUST00047,Back to School 2024,Display Ads,2023-05-14,True,False,False,False,False
RESP000182,CUST00047,Welcome Series,Push Notification,2024-11-03,True,False,False,False,False
RESP000183,CUST00047,Spring Sale 2024,Push Notification,2024-07-29,True,False,False,False,False
RESP000184,CUST00047,Welcome Series,Push Notification,2025-01-06,True,False,False,False,False
RESP000185,CUST00048,New Year Promotion 2025,Email,2022-08-15,True,False,False,False,False
RESP000186,CUST00048,Black Friday 2024,Email,2022-05-14,True,False,False,False,False
RESP000187,CUST00048,Spring Sale 2024,Display Ads,2022-03-10,True,False,False,False,False
RESP000188,CUST00048,Flash Sale Weekend,Email,2021-11-13,True,False,False,False,False
RESP000189,CUST00048,Win-back Campaign Q3,Email,2023-01-31,True,False,False,False,False
RESP000190,CUST00048,Win-back Campaign Q3,Push Notification,2021-07-18,True,False,False,False,False
RESP000191,CUST00049,Holiday Gift Guide 2024,Display Ads,2022-04-25,False,False,False,False,False
RESP000192,CUST00049,Holiday Gift Guide 2024,Email,2021-11-09,True,False,False,False,False
RESP000193,CUST00049,Summer Collection Launch,Email,2020-08-16,True,False,False,False,False
RESP000194,CUST00049,Welcome Series,Email,2021-02-28,True,False,False,False,False
RESP000195,CUST00049,New Year Promotion 2025,Email,2020-08-27,True,False,False,False,False
RESP000196,CUST00050,Product Launch - Electronics,Email,2023-01-06,True,False,False,False,False
RESP000197,CUST00050,New Year Promotion 2025,Email,2023-05-27,False,False,False,False,False
RESP000198,CUST00051,Loyalty Rewards Program,Email,2024-06-14,False,False,False,False,False
RESP000199,CUST00051,Holiday Gift Guide 2024,Email,2025-09-17,False,False,False,False,False
RESP000200,CUST00052,Loyalty Rewards Program,Email,2022-07-21,False,False,False,False,False
RESP000201,CUST00052,Product Launch - Electronics,Email,2023-02-25,True,False,False,False,False
RESP000202,CUST00052,New Year Promotion 2025,Display Ads,2022-12-05,True,False,False,False,False
RESP000203,CUST00052,Win-back Campaign Q3,SMS,2022-04-05,True,False,False,False,False
RESP000204,CUST00053,Customer Appreciation Week,Email,2021-10-29,True,False,False,False,False
RESP000205,CUST00053,Back to School 2024,SMS,2023-01-11,True,True,True,False,False
RESP000206,CUST00053,Summer Collection Launch,Email,2021-08-14,True,False,False,False,False
RESP000207,CUST00053,Back to School 2024,Email,2021-08-11,True,False,False,False,False
RESP000208,CUST00053,Product Launch - Electronics,Email,2023-05-07,True,True,False,False,False
RESP000209,CUST00053,Back to School 2024,Email,2022-05-23,True,False,False,False,False
RESP000210,CUST00054,Black Friday 2024,SMS,2025-01-12,False,False,False,False,False
RESP000211,CUST00054,New Year Promotion 2025,Email,2023-08-02,True,False,False,False,False
RESP000212,CUST00054,Spring Sale 2024,Email,2023-11-08,True,False,False,False,False
RESP000213,CUST00055,Spring Sale 2024,Display Ads,2022-03-12,True,False,False,False,False
RESP000214,CUST00055,Holiday Gift Guide 2024,Email,2023-06-26,True,False,False,False,False
RESP000215,CUST00055,Win-back Campaign Q3,Push Notification,2022-09-28,True,False,False,False,False
RESP000216,CUST00058,Spring Sale 2024,Email,2024-12-28,True,False,False,False,False
RESP000217,CUST00058,New Year Promotion 2025,SMS,2023-12-26,True,True,True,False,False
RESP000218,CUST00058,Holiday Gift Guide 2024,Email,2024-01-02,True,False,False,False,False
RESP000219,CUST00058,Spring Sale 2024,Email,2025-06-24,True,False,False,False,False
RESP000220,CUST00058,Holiday Gift Guide 2024,SMS,2025-07-05,True,True,False,False,False
RESP000221,CUST00059,Win-back Campaign Q3,Email,2021-12-12,True,True,False,False,False
RESP000222,CUST00059,Win-back Campaign Q3,Email,2020-08-03,True,False,False,False,False
RESP000223,CUST00059,Customer Appreciation Week,Email,2022-01-05,True,True,False,False,False
RESP000224,CUST00059,Summer Collection Launch,Email,2021-12-11,True,False,False,False,False
RESP000225,CUST00060,Spring Sale 2024,Push Notification,2023-06-04,True,False,False,False,False
RESP000226,CUST00060,Spring Sale 2024,Email,2025-01-09,False,False,False,False,False
RESP000227,CUST00060,Flash Sale Weekend,Display Ads,2025-01-12,True,False,False,False,False
RESP000228,CUST00061,Spring Sale 2024,Display Ads,2022-12-09,True,True,True,False,False
RESP000229,CUST00061,Summer Collection Launch,Email,2023-07-19,True,True,True,False,False
RESP000230,CUST00061,Customer Appreciation Week,Push Notification,2022-04-24,True,True,False,False,False
RESP000231,CUST00061,Loyalty Rewards Program,Email,2023-09-27,True,True,False,False,False
RESP000232,CUST00061,Product Launch - Electronics,Push Notification,2023-04-19,True,False,False,False,False
RESP000233,CUST00061,Flash Sale Weekend,Email,2023-03-31,True,False,False,False,False
RESP000234,CUST00062,Welcome Series,Email,2022-03-12,True,False,False,False,False
RESP000235,CUST00062,Back to School 2024,Email,2022-11-02,True,False,False,False,False
RESP000236,CUST00063,Flash Sale Weekend,Email,2025-03-23,True,False,False,False,False
RESP000237,CUST00063,Back to School 2024,Email,2024-10-21,True,False,False,False,False
RESP000238,CUST00064,Welcome Series,Social Media,2024-12-17,True,False,False,False,False
RESP000239,CUST00064,Spring Sale 2024,SMS,2023-07-01,True,False,False,False,False
RESP000240,CUST00065,Black Friday 2024,Display Ads,2022-09-07,True,True,False,False,False
RESP000241,CUST00065,Summer Collection Launch,Push Notification,2022-02-26,True,False,False,False,False
RESP000242,CUST00065,Customer Appreciation Week,Email,2021-09-27,True,False,False,False,False
RESP000243,CUST00066,New Year Promotion 2025,Push Notification,2025-05-24,True,False,False,False,False
RESP000244,CUST00066,Holiday Gift Guide 2024,SMS,2025-03-06,True,True,True,True,False
RESP000245,CUST00066,Win-back Campaign Q3,Email,2024-08-29,True,False,False,False,False
RESP000246,CUST00066,Customer Appreciation Week,SMS,2024-12-22,True,True,False,False,True
RESP000247,CUST00067,Customer Appreciation Week,Push Notification,2023-10-04,True,False,False,False,False
RESP000248,CUST00067,Holiday Gift Guide 2024,Email,2024-10-15,True,False,False,False,False
RESP000249,CUST00067,Loyalty Rewards Program,Social Media,2024-03-06,True,False,False,False,False
RESP000250,CUST00067,Spring Sale 2024,Push Notification,2024-09-10,True,False,False,False,False
RESP000251,CUST00068,Welcome Series,Email,2024-07-11,True,False,False,False,False
RESP000252,CUST00068,Back to School 2024,Email,2025-03-31,True,False,False,False,False
RESP000253,CUST00068,Back to School 2024,Email,2023-12-05,True,False,False,False,False
RESP000254,CUST00068,Welcome Series,Push Notification,2025-01-18,True,False,False,False,False
RESP000255,CUST00069,Product Launch - Electronics,Push Notification,2022-01-29,True,False,False,False,False
RESP000256,CUST00069,Product Launch - Electronics,Display Ads,2021-08-10,True,True,True,False,False
RESP000257,CUST00069,Black Friday 2024,Push Notification,2023-02-07,True,False,False,False,False
RESP000258,CUST00069,Loyalty Rewards Program,Email,2022-12-03,True,True,False,False,False
RESP000259,CUST00069,Black Friday 2024,Display Ads,2021-09-23,True,False,False,False,False
RESP000260,CUST00070,Welcome Series,SMS,2023-08-24,True,False,False,False,False
RESP000261,CUST00070,Product Launch - Electronics,Display Ads,2023-09-18,True,False,False,False,False
RESP000262,CUST00070,Welcome Series,Email,2023-06-13,True,False,False,False,False
RESP000263,CUST00070,Black Friday 2024,Email,2023-03-05,True,False,False,False,False
RESP000264,CUST00071,Product Launch - Electronics,Email,2021-09-07,True,False,False,False,False
RESP000265,CUST00071,Holiday Gift Guide 2024,Email,2021-11-30,True,False,False,False,False
RESP000266,CUST00071,Welcome Series,SMS,2021-04-06,True,False,False,False,False
RESP000267,CUST00071,Summer Collection Launch,SMS,2020-10-16,True,False,False,False,False
RESP000268,CUST00072,Customer Appreciation Week,SMS,2021-01-12,True,False,False,False,False
RESP000269,CUST00072,Flash Sale Weekend,Display Ads,2021-09-24,True,False,False,False,False
RESP000270,CUST00072,Customer Appreciation Week,Email,2021-05-02,False,False,False,False,False
RESP000271,CUST00073,Black Friday 2024,Email,2022-08-08,True,False,False,False,False
RESP000272,CUST00073,Black Friday 2024,SMS,2022-08-02,True,False,False,False,False
RESP000273,CUST00073,Back to School 2024,Email,2022-10-17,True,False,False,False,False
RESP000274,CUST00074,New Year Promotion 2025,SMS,2022-04-02,True,False,False,False,False
RESP000275,CUST00074,New Year Promotion 2025,Display Ads,2023-03-16,True,False,False,False,False
RESP000276,CUST00074,Summer Collection Launch,SMS,2021-06-05,True,True,False,False,False
RESP000277,CUST00075,Black Friday 2024,SMS,2022-10-29,True,False,False,False,False
RESP000278,CUST00075,Summer Collection Launch,Push Notification,2022-01-24,True,False,False,False,False
RESP000279,CUST00075,Summer Collection Launch,SMS,2022-02-05,True,False,False,False,False
RESP000280,CUST00075,Holiday Gift Guide 2024,SMS,2022-12-01,True,False,False,False,False
RESP000281,CUST00075,Welcome Series,Email,2022-03-04,True,False,False,False,False
RESP000282,CUST00075,Summer Collection Launch,Social Media,2022-02-27,True,True,False,False,False
RESP000283,CUST00076,Summer Collection Launch,Social Media,2023-05-16,True,False,False,False,False
RESP000284,CUST00076,Summer Collection Launch,Email,2022-05-12,True,False,False,False,False
RESP000285,CUST00076,Back to School 2024,Email,2021-12-01,True,False,False,False,False
RESP000286,CUST00077,Customer Appreciation Week,Email,2024-12-13,True,False,False,False,False
RESP000287,CUST00077,Win-back Campaign Q3,Email,2023-04-10,True,False,False,False,False
RESP000288,CUST00077,Holiday Gift Guide 2024,Push Notification,2024-02-17,True,False,False,False,False
RESP000289,CUST00078,Loyalty Rewards Program,SMS,2024-02-09,True,True,False,False,False
RESP000290,CUST00078,Holiday Gift Guide 2024,SMS,2023-09-02,True,False,False,False,False
RESP000291,CUST00078,Back to School 2024,Email,2023-09-30,True,True,True,False,False
RESP000292,CUST00078,Summer Collection Launch,Push Notification,2023-09-25,True,False,False,False,False
RESP000293,CUST00078,New Year Promotion 2025,Push Notification,2023-06-27,True,False,False,False,False
RESP000294,CUST00078,Holiday Gift Guide 2024,Push Notification,2024-09-18,True,False,False,False,False
RESP000295,CUST00079,New Year Promotion 2025,Push Notification,2023-12-14,True,True,False,False,False
RESP000296,CUST00079,Loyalty Rewards Program,Email,2024-01-11,True,False,False,False,False
RESP000297,CUST00079,Product Launch - Electronics,Push Notification,2024-05-11,True,True,False,False,False
RESP000298,CUST00079,Product Launch - Electronics,Push Notification,2024-11-06,True,False,False,False,False
RESP000299,CUST00079,Flash Sale Weekend,SMS,2023-03-18,True,False,False,False,False
RESP000300,CUST00080,Back to School 2024,Email,2022-05-17,False,False,False,False,False
RESP000301,CUST00080,Summer Collection Launch,Display Ads,2022-12-13,True,False,False,False,False
RESP000302,CUST00081,Spring Sale 2024,Push Notification,2025-04-12,True,True,False,False,False
RESP000303,CUST00081,Customer Appreciation Week,Email,2025-06-18,True,False,False,False,False
RESP000304,CUST00082,Flash Sale Weekend,Push Notification,2021-10-10,True,False,False,False,False
RESP000305,CUST00082,Loyalty Rewards Program,Email,2022-02-16,True,False,False,False,False
RESP000306,CUST00082,Welcome Series,Push Notification,2023-04-01,True,False,False,False,True
RESP000307,CUST00082,Spring Sale 2024,SMS,2021-11-05,True,False,False,False,False
RESP000308,CUST00083,Product Launch - Electronics,Social Media,2023-03-14,True,False,False,False,False
RESP000309,CUST00083,Summer Collection Launch,Email,2023-12-11,True,True,False,False,False
RESP000310,CUST00083,Flash Sale Weekend,Social Media,2023-09-29,True,True,False,False,False
RESP000311,CUST00084,Summer Collection Launch,Display Ads,2024-05-18,True,True,False,False,False
RESP000312,CUST00084,Loyalty Rewards Program,SMS,2024-06-15,True,True,False,False,False
RESP000313,CUST00084,Flash Sale Weekend,Display Ads,2025-04-26,True,False,False,False,False
RESP000314,CUST00084,Back to School 2024,Social Media,2025-06-05,True,True,False,False,False
RESP000315,CUST00085,Holiday Gift Guide 2024,Email,2023-02-05,True,False,False,False,False
RESP000316,CUST00085,Holiday Gift Guide 2024,Email,2024-03-28,True,False,False,False,False
RESP000317,CUST00085,New Year Promotion 2025,Social Media,2024-09-12,True,True,False,False,False
RESP000318,CUST00085,Win-back Campaign Q3,Email,2024-02-04,True,True,False,False,False
