session_id,customer_id,current_product_id,current_category,current_price,prev_product_1,prev_product_2,prev_product_3,products_in_cart,device_type,traffic_source,time_on_page_sec,scroll_depth,clicked_product_image,session_length_mins,products_viewed_count,recommendation_clicked
SESS000027,CUST00230,PROD0059,Home,82.26,NONE,NONE,NONE,0,Mobile,Organic,59,0.3,0,23,1,0
SESS000028,CUST00132,PROD0081,Books,506.31,NONE,NONE,NONE,0,Desktop,Organic,248,0.58,1,26,1,1
SESS000029,CUST01644,PROD0069,Home,33.75,PROD0017,PROD0055,NONE,0,Mobile,Social,255,0.23,0,17,3,0
SESS000030,CUST02324,PROD0184,Books,62.36,PROD0081,PROD0055,PROD0168,0,Mobile,Direct,158,0.11,1,29,7,1
SESS000031,CUST02045,PROD0102,Sports,23.05,PROD0165,PROD0118,PROD0037,0,Tablet,Organic,53,0.37,0,22,4,0
SESS000032,CUST01085,PROD0036,Books,49.86,PROD0064,PROD0191,PROD0144,0,Mobile,Direct,290,0.85,0,32,6,1
SESS000033,CUST02208,PROD0068,Sports,60.05,NONE,NONE,NONE,0,Desktop,Paid,170,0.79,0,28,1,1
SESS000034,CUST02395,PROD0110,Electronics,41.49,PROD0150,NONE,NONE,2,Mobile,Social,166,0.47,0,10,2,1
SESS000035,CUST01636,PROD0093,Clothing,69.66,NONE,NONE,NONE,0,Desktop,Social,259,0.12,0,1,1,0
SESS000036,CUST00899,PROD0036,Books,49.86,PROD0131,NONE,NONE,1,Mobile,Social,92,0.75,1,8,2,0
SESS000037,CUST02022,PROD0024,Electronics,60.8,PROD0194,PROD0013,PROD0029,0,Mobile,Social,11,0.67,1,21,6,0
SESS000038,CUST00627,PROD0161,Electronics,337.18,PROD0041,PROD0175,PROD0109,1,Mobile,Direct,201,0.41,0,29,4,1
SESS000039,CUST02443,PROD0017,Clothing,37.74,PROD0099,PROD0098,PROD0153,0,Desktop,Organic,226,0.43,1,5,5,1
SESS000040,CUST01918,PROD0136,Home,22.45,PROD0065,NONE,NONE,0,Tablet,Social,63,0.91,1,17,2,1
SESS000041,CUST02267,PROD0003,Books,193.13,PROD0175,NONE,NONE,1,Mobile,Organic,205,0.23,1,40,2,0
SESS000042,CUST02953,PROD0030,Books,131.59,PROD0175,PROD0138,PROD0193,0,Mobile,Organic,150,0.58,1,23,5,0
SESS000043,CUST01093,PROD0197,Home,79.38,PROD0165,NONE,NONE,1,Mobile,Paid,121,0.11,0,38,2,0
SESS000044,CUST01394,PROD0029,Electronics,16.34,PROD0076,PROD0112,PROD0041,1,Desktop,Paid,177,0.85,0,12,5,0
SESS000045,CUST01859,PROD0001,Sports,22.43,NONE,NONE,NONE,0,Mobile,Paid,296,0.79,0,43,1,0
SESS000046,CUST02958,PROD0185,Clothing,64.23,PROD0068,PROD0129,NONE,2,Mobile,Direct,59,0.7,1,39,3,0
SESS000047,CUST00732,PROD0130,Clothing,13.83,PROD0028,PROD0161,NONE,0,Mobile,Organic,205,0.79,0,20,3,1
SESS000048,CUST01223,PROD0164,Clothing,119.23,PROD0130,NONE,NONE,0,Desktop,Paid,295,0.84,1,43,2,0
SESS000049,CUST02495,PROD0051,Clothing,29.77,PROD0040,PROD0096,PROD0196,0,Mobile,Paid,21,0.96,0,19,5,1
SESS000050,CUST00662,PROD0139,Electronics,39.29,PROD0200,PROD0136,PROD0001,1,Mobile,Direct,219,0.75,0,8,7,0
SESS000051,CUST02454,PROD0083,Books,88.73,NONE,NONE,NONE,2,Desktop,Social,51,0.14,0,26,1,0
SESS000052,CUST02002,PROD0005,Clothing,37.69,PROD0029,PROD0093,PROD0079,0,Desktop,Paid,11,0.37,1,7,6,0
SESS000053,CUST00981,PROD0015,Home,45.44,PROD0062,PROD0146,PROD0021,1,Tablet,Paid,107,0.13,0,30,4,1
SESS000054,CUST00351,PROD0188,Electronics,37.98,PROD0125,PROD0018,NONE,0,Mobile,Organic,187,0.46,0,37,3,0
SESS000055,CUST02182,PROD0197,Home,79.38,PROD0033,NONE,NONE,0,Mobile,Social,112,0.31,0,13,2,0
SESS000056,CUST00526,PROD0169,Books,49.49,PROD0122,NONE,NONE,2,Mobile,Direct,231,0.16,0,13,2,1
SESS000057,CUST02252,PROD0043,Sports,97.44,NONE,NONE,NONE,0,Mobile,Organic,240,0.99,1,44,1,1
SESS000058,CUST01086,PROD0136,Home,22.45,NONE,NONE,NONE,0,Mobile,Social,146,0.37,1,30,1,0
SESS000059,CUST02485,PROD0109,Electronics,15.81,NONE,NONE,NONE,0,Desktop,Organic,144,0.96,1,15,1,1
SESS000060,CUST00868,PROD0139,Electronics,39.29,PROD0194,PROD0187,NONE,2,Desktop,Email,230,0.25,1,24,3,1
SESS000061,CUST02826,PROD0052,Home,78.72,PROD0183,PROD0080,NONE,0,Tablet,Social,222,0.13,1,10,3,0
SESS000062,CUST01635,PROD0172,Electronics,63.54,NONE,NONE,NONE,0,Desktop,Social,24,1.0,0,23,1,0
SESS000063,CUST02662,PROD0096,Sports,135.43,PROD0113,PROD0133,NONE,1,Desktop,Social,273,0.3,0,24,3,0
SESS000064,CUST01850,PROD0031,Home,10.64,PROD0064,PROD0058,NONE,0,Desktop,Organic,33,0.9,1,41,3,0
SESS000065,CUST00263,PROD0087,Books,33.53,PROD0006,PROD0151,NONE,0,Desktop,Social,128,0.44,0,5,3,0
SESS000066,CUST02269,PROD0059,Home,82.26,PROD0151,PROD0057,PROD0002,0,Mobile,Organic,85,0.16,1,13,4,0
SESS000067,CUST00291,PROD0182,Clothing,44.05,PROD0162,NONE,NONE,0,Desktop,Paid,241,0.76,0,40,2,0
SESS000068,CUST00242,PROD0059,Home,82.26,PROD0018,PROD0009,PROD0085,1,Mobile,Organic,185,0.71,0,41,5,0
SESS000069,CUST00291,PROD0132,Sports,36.43,PROD0061,PROD0072,PROD0172,0,Mobile,Direct,164,0.4,1,31,7,1
SESS000070,CUST01989,PROD0055,Clothing,7.4,PROD0139,PROD0034,PROD0186,0,Desktop,Direct,228,0.18,0,29,4,0
SESS000071,CUST02339,PROD0148,Home,65.74,PROD0122,PROD0063,PROD0105,1,Mobile,Paid,78,0.49,1,24,5,1
SESS000072,CUST00780,PROD0025,Electronics,31.77,PROD0025,PROD0169,PROD0111,0,Mobile,Social,246,0.95,0,22,4,0
SESS000073,CUST01452,PROD0109,Electronics,15.81,PROD0106,NONE,NONE,0,Desktop,Paid,214,0.88,1,22,2,0
SESS000074,CUST01913,PROD0187,Home,66.75,PROD0014,PROD0173,PROD0168,0,Desktop,Organic,37,0.39,0,12,7,0
SESS000075,CUST02647,PROD0026,Home,89.06,PROD0016,PROD0104,PROD0187,2,Desktop,Paid,103,0.51,0,34,5,0
SESS000076,CUST01390,PROD0028,Clothing,154.92,PROD0064,PROD0050,PROD0049,1,Desktop,Organic,26,0.22,1,2,7,0
SESS000077,CUST02197,PROD0115,Sports,77.87,PROD0036,PROD0109,PROD0047,1,Mobile,Social,266,0.78,0,16,5,1
SESS000078,CUST01141,PROD0119,Books,42.12,PROD0064,PROD0020,PROD0114,0,Mobile,Social,285,0.74,0,34,5,0
SESS000079,CUST02255,PROD0026,Home,89.06,NONE,NONE,NONE,0,Mobile,Organic,12,0.79,1,25,1,0
SESS000080,CUST00208,PROD0167,Home,71.77,PROD0139,PROD0004,PROD0024,3,Desktop,Organic,50,0.52,0,24,4,0
SESS000081,CUST00969,PROD0043,Sports,97.44,PROD0105,PROD0125,PROD0124,0,Desktop,Organic,218,0.62,0,9,6,0
SESS000082,CUST00876,PROD0103,Sports,39.92,PROD0016,PROD0043,PROD0098,0,Mobile,Paid,99,0.75,1,8,5,0
SESS000083,CUST00009,PROD0100,Clothing,61.11,PROD0068,PROD0117,PROD0074,1,Tablet,Direct,45,0.32,1,11,6,1
SESS000084,CUST01733,PROD0179,Electronics,18.27,NONE,NONE,NONE,0,Mobile,Social,246,0.39,0,20,1,1
SESS000085,CUST02993,PROD0143,Electronics,232.98,PROD0170,PROD0184,PROD0125,0,Mobile,Organic,170,0.61,1,26,6,0
SESS000086,CUST00635,PROD0049,Electronics,32.13,PROD0076,PROD0056,NONE,0,Mobile,Organic,127,0.13,1,40,3,1
SESS000087,CUST00240,PROD0149,Books,137.48,PROD0189,NONE,NONE,1,Mobile,Social,88,0.41,1,8,2,1
SESS000088,CUST02221,PROD0016,Clothing,74.55,PROD0192,NONE,NONE,0,Desktop,Paid,131,0.57,1,22,2,1
SESS000089,CUST01285,PROD0015,Home,45.44,NONE,NONE,NONE,2,Mobile,Organic,126,0.4,0,13,1,0
SESS000090,CUST00206,PROD0150,Electronics,37.27,PROD0123,PROD0129,NONE,0,Desktop,Paid,215,0.31,1,32,3,0
SESS000091,CUST02176,PROD0041,Sports,35.74,PROD0015,PROD0131,PROD0021,0,Desktop,Organic,211,0.33,0,35,5,0
SESS000092,CUST00762,PROD0018,Sports,57.59,PROD0153,PROD0018,PROD0173,0,Desktop,Social,24,0.55,0,20,5,0
SESS000093,CUST00964,PROD0104,Home,77.51,PROD0031,PROD0146,PROD0064,2,Desktop,Organic,266,0.69,1,34,4,1
SESS000094,CUST02372,PROD0153,Home,53.77,PROD0011,PROD0159,PROD0021,1,Mobile,Paid,286,0.74,1,18,5,1
SESS000095,CUST01718,PROD0169,Books,49.49,PROD0150,PROD0145,PROD0134,0,Mobile,Email,45,0.32,1,37,5,0
SESS000096,CUST01296,PROD0067,Sports,13.9,PROD0053,PROD0172,PROD0184,0,Mobile,Paid,32,0.33,1,2,7,0
SESS000097,CUST01287,PROD0062,Clothing,108.42,PROD0068,PROD0102,PROD0034,0,Desktop,Organic,14,0.17,0,23,7,0
SESS000098,CUST02752,PROD0166,Books,34.93,PROD0077,PROD0118,PROD0081,0,Mobile,Direct,175,0.95,0,1,5,1
SESS000099,CUST00298,PROD0003,Books,193.13,PROD0118,PROD0160,PROD0145,0,Mobile,Social,124,0.83,0,37,4,0
SESS000100,CUST00410,PROD0019,Sports,98.57,PROD0138,NONE,NONE,0,Mobile,Organic,297,0.94,0,14,2,1
SESS000101,CUST00874,PROD0130,Clothing,13.83,NONE,NONE,NONE,0,Mobile,Email,210,0.72,0,5,1,1
SESS000102,CUST01087,PROD0034,Clothing,27.8,PROD0090,NONE,NONE,3,Desktop,Organic,43,0.51,0,25,2,0
SESS000103,CUST00282,PROD0063,Home,30.68,PROD0095,NONE,NONE,0,Desktop,Organic,12,0.97,0,16,2,0
SESS000104,CUST01168,PROD0041,Sports,35.74,PROD0113,PROD0140,PROD0181,1,Mobile,Direct,123,0.95,1,22,7,1
SESS000105,CUST01240,PROD0157,Electronics,57.16,NONE,NONE,NONE,0,Desktop,Direct,293,0.64,1,40,1,0
SESS000106,CUST02679,PROD0136,Home,22.45,PROD0003,NONE,NONE,3,Desktop,Paid,67,0.98,0,28,2,0
SESS000107,CUST02736,PROD0142,Books,28.68,PROD0077,PROD0170,NONE,2,Desktop,Paid,106,0.39,1,41,3,0
SESS000108,CUST00425,PROD0035,Books,61.58,PROD0068,PROD0030,PROD0028,1,Desktop,Direct,93,0.4,0,19,5,0
SESS000109,CUST02267,PROD0040,Electronics,72.87,NONE,NONE,NONE,0,Desktop,Paid,228,0.44,0,29,1,1
SESS000110,CUST01116,PROD0073,Electronics,62.79,PROD0155,NONE,NONE,0,Desktop,Social,7,0.59,1,10,2,0
SESS000111,CUST00863,PROD0184,Books,62.36,PROD0088,PROD0053,PROD0176,0,Desktop,Direct,297,0.32,0,25,4,1
SESS000112,CUST02598,PROD0068,Sports,60.05,PROD0130,PROD0126,NONE,0,Mobile,Social,25,0.28,0,44,3,0
SESS000113,CUST01029,PROD0014,Sports,32.84,PROD0024,PROD0163,NONE,0,Desktop,Organic,281,0.53,0,11,3,1
SESS000114,CUST01735,PROD0071,Electronics,31.69,PROD0012,PROD0001,PROD0086,1,Desktop,Paid,295,0.62,0,27,5,0
SESS000115,CUST00536,PROD0164,Clothing,119.23,NONE,NONE,NONE,0,Mobile,Email,267,0.71,0,26,1,0
SESS000116,CUST01073,PROD0042,Home,82.32,PROD0190,PROD0114,PROD0142,0,Desktop,Organic,40,0.48,0,42,5,0
SESS000117,CUST02891,PROD0110,Electronics,41.49,PROD0144,PROD0003,PROD0029,1,Mobile,Paid,281,0.9,0,13,7,1
SESS000118,CUST00309,PROD0177,Books,195.76,NONE,NONE,NONE,0,Desktop,Paid,297,0.37,1,42,1,0
SESS000119,CUST00611,PROD0140,Sports,119.97,PROD0010,PROD0095,PROD0150,0,Desktop,Direct,246,0.24,0,19,4,0
SESS000120,CUST02264,PROD0038,Sports,16.51,PROD0111,PROD0033,PROD0011,1,Mobile,Paid,164,0.67,0,22,5,0
SESS000121,CUST01263,PROD0094,Clothing,67.07,PROD0011,PROD0092,PROD0054,1,Mobile,Organic,46,0.49,1,35,7,0
SESS000122,CUST02794,PROD0064,Clothing,43.99,PROD0171,PROD0027,PROD0091,1,Tablet,Organic,46,0.91,1,19,4,1
SESS000123,CUST02294,PROD0105,Sports,19.18,NONE,NONE,NONE,0,Desktop,Paid,200,0.5,1,9,1,0
SESS000124,CUST02543,PROD0192,Clothing,52.23,PROD0040,PROD0061,PROD0042,0,Mobile,Social,71,0.58,0,8,6,0
SESS000125,CUST00726,PROD0106,Clothing,11.11,PROD0007,PROD0046,PROD0189,0,Desktop,Email,290,0.4,0,2,6,1
SESS000126,CUST01361,PROD0106,Clothing,11.11,PROD0172,NONE,NONE,0,Tablet,Social,125,0.84,0,16,2,1
SESS000127,CUST01017,PROD0069,Home,33.75,PROD0041,PROD0180,PROD0028,0,Tablet,Paid,119,0.24,1,30,5,0
SESS000128,CUST01567,PROD0010,Books,53.11,PROD0121,PROD0057,PROD0052,1,Mobile,Direct,235,0.88,0,21,4,1
SESS000129,CUST01886,PROD0090,Home,23.01,NONE,NONE,NONE,0,Mobile,Organic,241,0.42,0,36,1,0
SESS000130,CUST01251,PROD0059,Home,82.26,PROD0058,NONE,NONE,1,Desktop,Organic,266,0.93,0,23,2,0
SESS000131,CUST00097,PROD0169,Books,49.49,PROD0050,PROD0103,PROD0085,1,Desktop,Organic,295,0.71,0,42,6,0
SESS000132,CUST01142,PROD0018,Sports,57.59,NONE,NONE,NONE,0,Mobile,Organic,167,0.26,1,14,1,1
SESS000133,CUST01144,PROD0090,Home,23.01,PROD0165,NONE,NONE,0,Tablet,Social,293,0.93,0,25,2,0
SESS000134,CUST02087,PROD0103,Sports,39.92,PROD0174,PROD0138,NONE,0,Desktop,Organic,29,0.7,0,3,3,0
SESS000135,CUST01357,PROD0008,Sports,88.48,PROD0030,PROD0067,PROD0046,0,Mobile,Organic,24,0.5,0,12,4,0
SESS000136,CUST02379,PROD0068,Sports,60.05,PROD0010,PROD0028,NONE,0,Mobile,Social,9,0.8,0,23,3,1
SESS000137,CUST02444,PROD0112,Books,328.93,NONE,NONE,NONE,0,Tablet,Organic,103,0.17,1,15,1,1
SESS000138,CUST01416,PROD0187,Home,66.75,PROD0081,PROD0112,PROD0156,1,Mobile,Social,44,0.83,0,33,4,1
SESS000139,CUST02095,PROD0030,Books,131.59,PROD0099,NONE,NONE,0,Desktop,Paid,120,0.46,1,39,2,1
SESS000140,CUST02362,PROD0049,Electronics,32.13,PROD0066,PROD0012,PROD0182,0,Mobile,Paid,137,0.11,0,7,5,0
SESS000141,CUST01787,PROD0001,Sports,22.43,PROD0134,PROD0138,PROD0176,0,Mobile,Organic,69,0.39,1,10,7,0
SESS000142,CUST02947,PROD0190,Books,12.1,PROD0189,PROD0172,PROD0051,0,Mobile,Organic,192,0.68,0,32,4,1
SESS000143,CUST01492,PROD0111,Books,67.82,PROD0018,PROD0171,PROD0085,0,Mobile,Organic,86,0.53,0,34,4,0
SESS000144,CUST02553,PROD0081,Books,506.31,NONE,NONE,NONE,3,Mobile,Direct,21,0.69,1,13,1,0
SESS000145,CUST02718,PROD0032,Home,128.46,PROD0185,PROD0077,PROD0130,1,Mobile,Organic,251,0.69,1,40,5,0
SESS000146,CUST01267,PROD0171,Clothing,20.38,PROD0105,PROD0084,PROD0104,0,Desktop,Organic,91,0.71,0,24,5,1
SESS000147,CUST02856,PROD0076,Home,40.18,PROD0142,PROD0033,NONE,0,Desktop,Organic,137,0.56,0,24,3,0
SESS000148,CUST00786,PROD0108,Electronics,28.94,PROD0171,PROD0098,PROD0174,1,Tablet,Email,55,0.26,0,19,7,0
SESS000149,CUST00713,PROD0158,Clothing,27.79,PROD0146,PROD0078,PROD0104,0,Desktop,Organic,224,0.91,1,38,7,1
SESS000150,CUST02245,PROD0001,Sports,22.43,NONE,NONE,NONE,0,Tablet,Social,82,0.16,1,3,1,0
SESS000151,CUST01245,PROD0074,Books,20.63,PROD0054,PROD0111,PROD0149,0,Desktop,Organic,262,0.64,0,36,4,0
SESS000152,CUST02485,PROD0168,Sports,244.92,PROD0083,NONE,NONE,0,Desktop,Social,187,0.19,0,11,2,0
SESS000153,CUST01905,PROD0114,Electronics,19.61,PROD0114,PROD0173,PROD0055,0,Mobile,Organic,292,0.55,0,30,4,0
SESS000154,CUST02094,PROD0122,Clothing,76.03,NONE,NONE,NONE,0,Desktop,Organic,22,0.67,0,39,1,0
SESS000155,CUST00696,PROD0169,Books,49.49,PROD0022,PROD0073,PROD0132,0,Desktop,Paid,260,0.59,1,23,4,0
SESS000156,CUST02720,PROD0163,Home,49.96,PROD0159,PROD0086,PROD0024,1,Mobile,Organic,287,0.97,0,29,5,1
SESS000157,CUST00963,PROD0173,Electronics,163.68,PROD0080,PROD0058,PROD0051,1,Mobile,Paid,7,0.37,0,37,5,0
SESS000158,CUST00604,PROD0007,Electronics,7.76,PROD0012,PROD0063,PROD0122,0,Desktop,Social,190,0.11,0,37,7,0
SESS000159,CUST02504,PROD0197,Home,79.38,PROD0019,NONE,NONE,1,Tablet,Organic,14,0.77,1,32,2,0
SESS000160,CUST01866,PROD0107,Books,48.98,PROD0162,PROD0148,PROD0050,0,Desktop,Paid,238,0.78,0,9,4,0
SESS000161,CUST02943,PROD0179,Electronics,18.27,PROD0099,PROD0127,NONE,1,Mobile,Email,227,0.38,1,20,3,0
SESS000162,CUST01637,PROD0063,Home,30.68,PROD0038,NONE,NONE,2,Mobile,Paid,231,0.22,1,20,2,1
SESS000163,CUST02688,PROD0177,Books,195.76,PROD0002,PROD0193,PROD0198,1,Mobile,Organic,24,0.46,1,4,4,0
SESS000164,CUST00437,PROD0200,Electronics,19.27,PROD0109,PROD0057,PROD0046,0,Desktop,Organic,162,0.82,0,4,6,0
SESS000165,CUST02851,PROD0133,Electronics,243.8,PROD0119,PROD0013,PROD0143,1,Mobile,Organic,121,0.81,0,22,5,1
SESS000166,CUST01021,PROD0032,Home,128.46,PROD0117,NONE,NONE,0,Mobile,Organic,117,0.64,1,33,2,0
SESS000167,CUST00547,PROD0119,Books,42.12,PROD0171,PROD0136,PROD0144,1,Tablet,Social,244,0.26,1,17,6,0
SESS000168,CUST02439,PROD0082,Electronics,53.25,PROD0194,PROD0114,PROD0157,0,Desktop,Social,65,0.98,0,26,5,0
SESS000169,CUST02947,PROD0130,Clothing,13.83,NONE,NONE,NONE,2,Desktop,Paid,55,0.95,0,6,1,1
SESS000170,CUST01748,PROD0141,Books,64.17,PROD0115,PROD0041,PROD0191,1,Desktop,Direct,78,0.94,1,37,4,1
SESS000171,CUST01945,PROD0116,Clothing,101.46,NONE,NONE,NONE,1,Mobile,Direct,104,0.79,0,35,1,0
SESS000172,CUST01062,PROD0193,Clothing,134.04,NONE,NONE,NONE,3,Mobile,Social,110,0.35,0,24,1,1
SESS000173,CUST01013,PROD0164,Clothing,119.23,PROD0071,PROD0197,PROD0200,0,Desktop,Organic,221,0.8,0,16,6,1
SESS000174,CUST02136,PROD0125,Home,78.03,NONE,NONE,NONE,0,Mobile,Organic,182,0.47,0,43,1,0
SESS000175,CUST02568,PROD0062,Clothing,108.42,PROD0071,PROD0113,PROD0020,2,Mobile,Social,158,0.48,0,20,7,0
SESS000176,CUST02923,PROD0074,Books,20.63,PROD0061,PROD0070,PROD0086,0,Tablet,Organic,165,0.24,0,3,7,1
SESS000177,CUST01310,PROD0139,Electronics,39.29,PROD0021,PROD0036,PROD0039,0,Desktop,Paid,32,0.75,0,17,5,0
SESS000178,CUST00948,PROD0099,Books,61.55,PROD0178,NONE,NONE,0,Mobile,Organic,9,0.95,1,6,2,0
SESS000179,CUST00626,PROD0181,Clothing,3.38,PROD0055,PROD0017,PROD0107,0,Mobile,Paid,298,0.83,0,39,6,1
SESS000180,CUST01670,PROD0085,Electronics,297.41,PROD0139,PROD0120,PROD0107,0,Desktop,Organic,72,0.78,0,7,5,1
SESS000181,CUST00256,PROD0053,Clothing,38.34,PROD0108,PROD0100,PROD0198,0,Desktop,Direct,172,0.99,1,28,6,1
SESS000182,CUST02393,PROD0179,Electronics,18.27,PROD0006,PROD0196,PROD0148,0,Mobile,Paid,231,0.19,1,8,4,0
SESS000183,CUST01559,PROD0123,Home,88.79,PROD0002,PROD0091,PROD0077,0,Mobile,Social,168,0.35,0,11,4,0
SESS000184,CUST01598,PROD0108,Electronics,28.94,PROD0138,NONE,NONE,0,Mobile,Direct,272,0.25,0,18,2,1
SESS000185,CUST02237,PROD0155,Sports,150.94,NONE,NONE,NONE,0,Desktop,Organic,12,0.9,1,38,1,1
SESS000186,CUST00904,PROD0125,Home,78.03,NONE,NONE,NONE,1,Mobile,Social,20,0.99,0,19,1,1
SESS000187,CUST00899,PROD0070,Home,27.74,PROD0112,PROD0125,PROD0008,3,Desktop,Organic,63,0.25,0,28,6,0
SESS000188,CUST01593,PROD0087,Books,33.53,PROD0172,NONE,NONE,0,Mobile,Social,137,0.98,0,34,2,1
SESS000189,CUST02782,PROD0104,Home,77.51,NONE,NONE,NONE,0,Desktop,Organic,217,0.33,1,44,1,0
SESS000190,CUST02967,PROD0043,Sports,97.44,PROD0120,NONE,NONE,0,Mobile,Organic,167,0.23,0,28,2,0
SESS000191,CUST00523,PROD0160,Home,55.15,NONE,NONE,NONE,1,Desktop,Social,143,0.86,0,22,1,1
SESS000192,CUST02188,PROD0007,Electronics,7.76,PROD0101,PROD0152,PROD0145,1,Desktop,Organic,205,0.69,1,35,4,1
SESS000193,CUST02716,PROD0007,Electronics,7.76,PROD0022,PROD0165,PROD0110,0,Mobile,Organic,195,0.16,1,25,7,0
SESS000194,CUST00556,PROD0119,Books,42.12,PROD0047,PROD0013,PROD0067,1,Desktop,Direct,256,0.7,0,17,7,0
SESS000195,CUST01553,PROD0084,Books,41.3,PROD0055,NONE,NONE,0,Desktop,Paid,42,0.3,0,27,2,1
SESS000196,CUST01863,PROD0084,Books,41.3,NONE,NONE,NONE,0,Mobile,Direct,274,0.93,0,20,1,0
SESS000197,CUST01383,PROD0195,Home,73.21,PROD0098,PROD0072,NONE,1,Mobile,Direct,177,0.97,1,42,3,1
SESS000198,CUST01727,PROD0065,Home,29.18,PROD0021,PROD0121,PROD0005,0,Desktop,Organic,168,0.19,0,14,6,1
SESS000199,CUST02210,PROD0014,Sports,32.84,PROD0090,PROD0058,PROD0167,0,Mobile,Organic,226,0.64,0,11,5,0
SESS000200,CUST00282,PROD0200,Electronics,19.27,NONE,NONE,NONE,3,Desktop,Organic,259,0.17,0,22,1,0
SESS000201,CUST02670,PROD0011,Books,43.18,PROD0194,PROD0008,PROD0064,1,Mobile,Paid,280,0.3,0,21,7,0
SESS000202,CUST00817,PROD0006,Books,37.62,NONE,NONE,NONE,0,Mobile,Organic,69,0.12,1,35,1,1
SESS000203,CUST02545,PROD0040,Electronics,72.87,NONE,NONE,NONE,0,Desktop,Paid,97,0.25,1,15,1,1
SESS000204,CUST00978,PROD0033,Clothing,29.26,PROD0122,PROD0172,PROD0030,0,Desktop,Social,80,0.54,1,7,4,0
SESS000205,CUST02311,PROD0056,Sports,178.44,PROD0120,PROD0180,PROD0066,0,Desktop,Social,218,0.33,0,1,7,0
SESS000206,CUST01511,PROD0043,Sports,97.44,NONE,NONE,NONE,0,Mobile,Organic,113,0.53,0,42,1,0
