customer_id,recency_days,frequency,monetary_value,avg_order_value,total_events,days_since_last_activity,page_views,product_views,cart_adds,engagement_score,num_support_tickets,avg_satisfaction_score,campaigns_received,email_open_rate,email_click_rate,campaign_conversions,customer_lifetime_value,churn_risk
CUST00068,598.0,1,45.36,45.36,15,58.0,4,1,0,3.5,2,3.0,4,0.0,0.0,0,45.36,High
CUST00069,1026.0,1,14.39,14.39,30,990.0,15,3,3,18.0,0,,5,0.4,0.5,0,14.39,Medium
CUST00070,596.0,5,390.17,78.03,30,517.0,19,4,1,17.5,1,5.0,4,0.0,0.0,0,390.17,Medium
CUST00071,1171.0,8,504.18,63.02,15,1265.0,3,1,1,5.0,1,4.0,4,0.0,0.0,0,504.18,High
CUST00072,1189.0,11,1316.13,119.65,20,1095.0,7,0,1,5.5,0,,3,0.0,0.0,0,1316.13,High
CUST00073,1190.0,0,0.0,0.0,5,711.0,1,0,0,0.5,0,,3,0.0,0.0,0,0.0,High
CUST00074,1027.0,3,355.27,118.42,10,919.0,4,1,2,7.5,1,,3,0.333,0.0,0,355.27,High
CUST00075,1696.0,0,0.0,0.0,5,1270.0,1,1,0,2.0,0,,6,0.167,0.0,0,0.0,High
CUST00076,806.0,5,571.98,114.4,30,741.0,11,3,3,16.0,1,3.0,3,0.0,0.0,0,571.98,Medium
CUST00077,426.0,5,1502.28,300.46,5,303.0,4,0,0,2.0,2,4.0,3,0.0,0.0,0,1502.28,High
CUST00078,245.0,7,1137.15,162.45,15,210.0,5,1,1,6.0,0,,6,0.333,0.5,0,1137.15,High
CUST00079,286.0,11,992.1,90.19,5,550.0,1,1,2,6.0,2,3.5,5,0.4,0.0,0,992.1,High
CUST00080,666.0,4,1064.38,266.1,15,584.0,6,0,1,5.0,0,,2,0.0,0.0,0,1064.38,High
CUST00081,8.0,7,704.01,100.57,20,37.0,8,1,2,9.5,1,,2,0.5,0.0,0,704.01,Low
CUST00082,760.0,10,2393.83,239.38,10,886.0,2,1,0,2.5,1,4.0,4,0.0,0.0,0,2393.83,High
CUST00083,1313.0,0,0.0,0.0,20,607.0,6,2,2,10.0,0,,3,0.667,0.0,0,0.0,Medium
CUST00084,83.0,8,1109.13,138.64,5,59.0,2,0,0,1.0,1,,4,0.75,0.0,0,1109.13,Low
CUST00085,395.0,2,140.58,70.29,10,371.0,5,1,0,4.0,0,,7,0.429,0.0,0,140.58,High
CUST00086,993.0,3,221.44,73.81,10,833.0,4,3,1,8.5,0,,6,0.25,0.0,0,221.44,High
CUST00087,1027.0,0,0.0,0.0,5,665.0,1,1,0,2.0,0,,2,0.5,0.0,0,0.0,High
CUST00088,8.0,12,3220.6,268.38,10,12.0,1,2,2,7.5,0,,4,0.0,0.0,0,3220.6,Low
CUST00089,1105.0,0,0.0,0.0,5,712.0,3,0,0,1.5,0,,6,0.2,1.0,0,0.0,High
CUST00090,38.0,9,2555.61,283.96,15,18.0,4,0,2,6.0,0,,2,0.0,0.0,0,2555.61,Low
CUST00091,200.0,5,532.29,106.46,5,82.0,3,0,0,1.5,0,,3,0.333,0.0,0,532.29,High
CUST00092,440.0,8,705.04,88.13,25,455.0,9,1,3,12.0,2,3.0,3,0.0,0.0,0,705.04,Medium
CUST00093,285.0,2,92.89,46.44,15,8.0,6,1,0,4.5,0,,3,0.333,1.0,0,92.89,High
CUST00094,939.0,4,889.52,222.38,25,594.0,11,6,0,14.5,0,,6,0.167,1.0,0,889.52,Medium
CUST00095,113.0,10,1946.73,194.67,5,86.0,3,1,1,5.0,1,5.0,0,0.0,0.0,0,1946.73,Medium
CUST00096,1117.0,12,2382.17,198.51,10,1160.0,3,1,1,5.0,0,,4,0.25,1.0,0,2382.17,High
CUST00097,935.0,2,81.79,40.9,15,807.0,3,2,2,8.5,1,1.0,4,0.5,0.0,0,81.79,High
CUST00098,111.0,6,733.94,122.32,20,32.0,5,2,1,7.5,0,,5,0.0,0.0,0,733.94,Medium
CUST00099,16.0,7,1047.49,149.64,5,202.0,3,0,0,1.5,2,3.0,3,0.0,0.0,0,1047.49,Low
CUST00100,271.0,6,1164.28,194.05,30,267.0,9,2,5,17.5,0,,2,1.0,0.0,0,1164.28,Medium
CUST00101,2007.0,0,0.0,0.0,10,1314.0,1,0,2,4.5,0,,5,0.0,0.0,0,0.0,High
CUST00102,1741.0,0,0.0,0.0,15,1081.0,5,4,1,10.5,1,3.0,4,0.5,0.0,0,0.0,Medium
CUST00103,673.0,2,672.5,336.25,20,536.0,8,3,4,16.5,3,4.0,2,0.0,0.0,0,672.5,Medium
CUST00104,1420.0,9,1561.68,173.52,15,1317.0,6,1,1,6.5,0,,4,0.0,0.0,0,1561.68,High
CUST00105,633.0,8,1618.35,202.29,30,571.0,15,3,1,14.0,1,5.0,5,0.2,0.0,0,1618.35,Medium
CUST00106,591.0,11,1496.07,136.01,10,565.0,6,0,1,5.0,0,,4,0.25,0.0,0,1496.07,High
CUST00107,1153.0,5,821.13,164.23,10,872.0,4,0,1,4.0,2,4.0,7,0.143,0.0,0,821.13,High
CUST00108,777.0,5,1905.36,381.07,10,696.0,4,0,0,2.0,2,5.0,4,0.0,0.0,0,1905.36,High
CUST00109,127.0,3,329.35,109.78,25,48.0,6,3,1,9.5,0,,3,0.333,1.0,0,329.35,Medium
CUST00110,1936.0,1,79.28,79.28,5,1418.0,2,0,0,1.0,2,4.0,5,0.6,0.0,0,79.28,High
CUST00111,1068.0,11,4235.62,385.06,10,1037.0,4,0,0,2.0,1,4.0,2,0.5,0.0,0,4235.62,High
CUST00112,1340.0,1,282.93,282.93,5,1156.0,3,0,0,1.5,1,5.0,3,0.667,0.5,0,282.93,High
CUST00113,1827.0,0,0.0,0.0,5,1152.0,0,0,1,2.0,3,4.67,2,0.0,0.0,0,0.0,High
CUST00114,909.0,2,198.1,99.05,20,808.0,8,1,1,7.5,0,,3,0.0,0.0,0,198.1,High
CUST00115,1199.0,1,23.15,23.15,15,682.0,5,0,0,2.5,3,3.5,3,0.333,0.0,0,23.15,High
CUST00116,543.0,15,4566.89,304.46,20,307.0,10,2,4,16.0,0,,2,0.0,0.0,0,4566.89,Medium
CUST00117,140.0,5,416.43,83.29,5,99.0,1,3,0,5.0,0,,0,0.0,0.0,0,416.43,Medium
CUST00118,1413.0,6,449.98,75.0,15,1235.0,5,0,1,4.5,2,4.0,2,0.5,0.0,0,449.98,High
CUST00119,414.0,8,1250.68,156.34,30,396.0,7,7,3,20.0,0,,2,0.5,0.0,0,1250.68,Low
CUST00120,242.0,3,435.14,145.05,15,276.0,5,2,1,7.5,0,,2,0.0,0.0,0,435.14,High
CUST00121,2113.0,0,0.0,0.0,5,1431.0,0,1,0,1.5,1,4.0,0,0.0,0.0,0,0.0,High
CUST00122,884.0,4,238.67,59.67,5,722.0,2,0,1,3.0,1,1.0,3,0.333,0.0,0,238.67,High
CUST00123,1713.0,0,0.0,0.0,15,1036.0,8,0,1,6.0,0,,4,0.333,0.0,0,0.0,High
CUST00124,512.0,15,2064.82,137.65,15,568.0,7,0,2,7.5,0,,7,0.143,0.0,0,2064.82,High
CUST00125,947.0,2,170.98,85.49,15,824.0,5,1,2,8.0,0,,4,0.75,0.667,0,170.98,High
CUST00126,1409.0,7,2211.42,315.92,20,1289.0,5,1,3,10.0,0,,2,0.5,0.0,0,2211.42,Medium
CUST00127,371.0,2,173.29,86.64,15,221.0,5,1,2,8.0,0,,6,0.167,0.0,0,173.29,High
CUST00128,319.0,5,1353.2,270.64,20,291.0,5,2,1,7.5,0,,2,0.5,0.0,0,1353.2,High
CUST00129,350.0,1,147.91,147.91,5,112.0,2,0,1,3.0,1,3.0,0,0.0,0.0,0,147.91,High
CUST00130,863.0,12,2494.06,207.84,15,876.0,3,1,2,7.0,0,,2,0.5,0.0,0,2494.06,High
CUST00131,604.0,4,802.48,200.62,10,621.0,3,1,0,3.0,0,,3,0.667,0.0,0,802.48,High
CUST00132,53.0,10,2034.01,203.4,5,8.0,1,0,1,2.5,0,,3,0.333,1.0,0,2034.01,Low
CUST00133,1484.0,1,117.31,117.31,20,1081.0,5,1,2,8.0,0,,5,0.2,0.0,0,117.31,High
CUST00134,396.0,6,2111.27,351.88,5,340.0,1,2,1,5.5,1,5.0,4,0.25,0.0,0,2111.27,High
CUST00135,733.0,1,18.55,18.55,20,503.0,4,1,3,9.5,0,,6,0.2,0.0,0,18.55,High
CUST00136,1497.0,12,1021.81,85.15,5,1397.0,3,0,1,3.5,0,,2,0.5,1.0,0,1021.81,High
CUST00137,1729.0,1,36.75,36.75,20,1144.0,7,1,0,5.0,0,,6,0.167,0.0,0,36.75,High
CUST00138,491.0,5,376.29,75.26,20,520.0,11,1,3,13.0,0,,6,0.167,0.0,0,376.29,Medium
CUST00139,1596.0,0,0.0,0.0,25,882.0,13,2,2,13.5,0,,3,0.333,0.0,0,0.0,Medium
CUST00140,865.0,15,2567.82,171.19,15,860.0,5,1,3,10.0,0,,3,0.333,0.0,0,2567.82,Medium
CUST00141,433.0,0,0.0,0.0,5,89.0,2,0,1,3.0,0,,6,0.167,0.0,0,0.0,High
CUST00142,1019.0,9,743.35,82.59,25,949.0,7,3,2,12.0,0,,4,0.5,0.0,0,743.35,Medium
CUST00143,1238.0,6,1924.21,320.7,10,1175.0,2,1,2,6.5,0,,3,0.5,0.0,0,1924.21,High
CUST00144,62.0,9,4262.35,473.59,5,55.0,2,1,0,2.5,0,,5,0.0,0.0,0,4262.35,Low
CUST00145,846.0,4,1587.63,396.91,15,790.0,5,4,0,8.5,4,3.67,2,0.5,0.0,0,1587.63,High
CUST00146,492.0,8,1917.34,239.67,5,538.0,2,2,0,4.0,0,,0,0.0,0.0,0,1917.34,High
CUST00147,634.0,9,561.92,62.44,30,508.0,10,3,4,17.5,1,3.0,7,0.0,0.0,0,561.92,Medium
CUST00148,1765.0,0,0.0,0.0,5,1096.0,3,0,0,1.5,1,4.0,6,0.5,0.333,0,0.0,High
CUST00149,239.0,4,300.87,75.22,5,137.0,2,0,0,1.0,0,,3,0.0,0.0,0,300.87,High
CUST00150,588.0,0,0.0,0.0,10,59.0,1,1,2,6.0,0,,5,0.2,0.0,0,0.0,High
CUST00151,1402.0,8,489.95,61.24,25,1401.0,8,0,1,6.0,0,,6,0.167,0.0,0,489.95,High
CUST00152,73.0,6,352.29,58.72,30,6.0,13,2,1,11.5,1,,4,0.333,0.0,0,352.29,Low
CUST00153,649.0,2,394.02,197.01,25,526.0,10,2,4,16.0,3,4.0,3,0.333,0.0,0,394.02,Medium
CUST00154,63.0,4,77.65,19.41,10,62.0,3,0,2,5.5,0,,4,0.25,0.0,0,77.65,Low
CUST00155,263.0,8,1248.3,156.04,10,361.0,4,2,0,5.0,1,5.0,3,0.667,0.5,0,1248.3,High
CUST00156,1577.0,1,51.48,51.48,10,1171.0,5,1,2,8.0,0,,3,0.333,0.0,0,51.48,High
CUST00157,127.0,6,641.4,106.9,10,121.0,3,4,0,7.5,2,3.0,2,1.0,0.0,0,641.4,Medium
CUST00158,1222.0,0,0.0,0.0,5,517.0,2,0,0,1.0,0,,0,0.0,0.0,0,0.0,High
CUST00159,387.0,5,4133.04,826.61,15,155.0,3,0,3,7.5,0,,6,0.167,0.0,0,4133.04,High
CUST00160,1285.0,2,742.86,371.43,15,1127.0,4,1,0,3.5,1,,3,0.333,0.0,0,742.86,High
CUST00161,1246.0,19,2604.09,137.06,15,1184.0,2,4,1,9.0,1,1.0,5,0.5,0.0,0,2604.09,High
CUST00162,26.0,6,694.88,115.81,10,47.0,3,0,1,3.5,0,,7,0.167,0.0,0,694.88,Low
CUST00163,321.0,1,3559.5,3559.5,10,80.0,2,1,2,6.5,0,,2,0.5,1.0,0,3559.5,High
CUST00164,241.0,1,144.34,144.34,25,9.0,9,3,3,15.0,0,,3,0.333,0.0,0,144.34,Medium
CUST00165,23.0,9,535.72,59.52,10,87.0,4,1,1,5.5,0,,2,0.5,0.0,0,535.72,Low
CUST00166,1877.0,0,0.0,0.0,15,1173.0,6,2,1,8.0,0,,3,0.0,0.0,0,0.0,High
CUST00167,510.0,12,934.93,77.91,5,496.0,4,0,1,4.0,1,4.0,0,0.0,0.0,0,934.93,High
CUST00168,533.0,0,0.0,0.0,5,90.0,3,0,1,3.5,1,3.0,0,0.0,0.0,0,0.0,High
CUST00169,658.0,8,676.15,84.52,30,573.0,9,0,4,12.5,0,,3,0.333,0.0,0,676.15,Medium
CUST00170,411.0,6,622.35,103.72,10,44.0,4,1,0,3.5,5,4.0,7,0.5,0.333,0,622.35,High
CUST00171,1839.0,3,207.63,69.21,30,1337.0,8,5,1,13.5,0,,4,0.5,0.0,0,207.63,Medium
CUST00172,260.0,3,598.89,199.63,10,110.0,1,0,2,4.5,0,,2,0.5,0.0,0,598.89,High
CUST00173,330.0,3,468.49,156.16,25,189.0,10,1,4,14.5,0,,3,0.0,0.0,0,468.49,Medium
CUST00174,1529.0,3,1541.51,513.84,10,1337.0,2,1,1,4.5,0,,3,0.0,0.0,0,1541.51,High
CUST00175,1688.0,2,198.78,99.39,5,1293.0,2,0,0,1.0,0,,4,0.25,0.0,0,198.78,High
CUST00176,1277.0,10,1388.63,138.86,25,1154.0,14,1,6,20.5,2,5.0,6,0.0,0.0,0,1388.63,Low
CUST00177,959.0,0,0.0,0.0,15,263.0,6,3,2,11.5,0,,4,0.5,0.5,0,0.0,Medium
CUST00178,63.0,2,158.83,79.41,5,1.0,0,2,2,7.0,5,2.0,0,0.0,0.0,0,158.83,Low
CUST00179,1001.0,5,239.36,47.87,10,803.0,1,3,2,9.0,0,,5,0.4,0.0,0,239.36,High
CUST00180,1204.0,1,53.12,53.12,15,1162.0,6,0,2,7.0,1,,5,0.25,0.0,0,53.12,High
CUST00181,1813.0,0,0.0,0.0,15,1141.0,4,1,3,9.5,1,5.0,6,0.0,0.0,0,0.0,High
CUST00182,684.0,0,0.0,0.0,10,64.0,4,0,3,8.0,0,,5,0.4,0.0,0,0.0,High
CUST00183,1036.0,9,1394.02,154.89,5,1007.0,3,1,0,3.0,1,3.0,0,0.0,0.0,0,1394.02,High
CUST00184,488.0,8,797.74,99.72,25,480.0,8,2,4,15.0,1,,2,0.0,0.0,0,797.74,Medium
CUST00185,910.0,9,1711.32,190.15,25,625.0,11,3,0,10.0,1,3.0,2,0.5,0.0,0,1711.32,Medium
CUST00186,1532.0,4,1175.13,293.78,20,1388.0,4,1,1,5.5,0,,5,0.0,0.0,0,1175.13,High
CUST00187,336.0,3,240.49,80.16,5,349.0,2,0,0,1.0,1,,6,0.0,0.0,0,240.49,High
CUST00188,589.0,7,768.62,109.8,5,588.0,1,0,1,2.5,0,,6,0.5,0.0,0,768.62,High
CUST00189,549.0,12,2597.38,216.45,5,949.0,2,0,1,3.0,1,5.0,0,0.0,0.0,0,2597.38,High
CUST00190,29.0,8,2266.17,283.27,5,4.0,2,1,0,2.5,2,4.0,7,0.0,0.0,0,2266.17,Low
CUST00191,97.0,3,489.7,163.23,25,35.0,9,1,2,10.0,1,4.0,5,0.4,0.0,0,489.7,Medium
CUST00192,972.0,1,510.33,510.33,15,578.0,2,2,2,8.0,0,,7,0.286,0.0,0,510.33,High
CUST00193,19.0,5,228.45,45.69,10,127.0,2,2,1,6.0,2,4.0,4,0.0,0.0,0,228.45,Low
CUST00194,198.0,1,53.18,53.18,10,6.0,3,1,1,5.0,0,,3,0.333,0.0,0,53.18,High
CUST00195,465.0,5,1555.23,311.05,20,351.0,7,1,2,9.0,0,,4,0.0,0.0,0,1555.23,High
CUST00196,898.0,20,4767.67,238.38,10,916.0,2,0,1,3.0,3,4.33,5,0.0,0.0,0,4767.67,High
CUST00197,1367.0,4,251.87,62.97,5,1529.0,3,0,0,1.5,3,4.67,3,0.667,0.5,0,251.87,High
CUST00198,878.0,2,207.77,103.88,5,894.0,0,1,0,1.5,0,,3,0.333,0.0,0,207.77,High
CUST00199,389.0,2,388.62,194.31,5,338.0,2,0,0,1.0,0,,5,0.6,0.0,0,388.62,High
CUST00200,1234.0,1,68.95,68.95,15,653.0,5,0,3,8.5,0,,4,0.25,1.0,0,68.95,High
CUST00201,115.0,3,126.84,42.28,25,52.0,7,0,2,7.5,0,,3,0.667,0.0,0,126.84,Medium
CUST00202,81.0,7,478.14,68.31,15,120.0,8,0,2,8.0,3,4.67,6,0.833,0.0,0,478.14,Low
CUST00203,23.0,10,3924.07,392.41,25,48.0,8,3,3,14.5,2,4.5,7,0.286,0.0,0,3924.07,Low
CUST00204,1944.0,0,0.0,0.0,30,1301.0,14,0,2,11.0,1,4.0,2,1.0,0.0,0,0.0,Medium
CUST00205,142.0,6,2035.84,339.31,10,93.0,3,0,2,5.5,2,,3,0.333,0.0,0,2035.84,Medium
CUST00206,149.0,3,160.82,53.61,5,30.0,2,0,0,1.0,0,,4,0.5,0.0,0,160.82,Medium
CUST00207,19.0,8,620.83,77.6,20,19.0,8,2,1,9.0,0,,5,0.2,0.0,0,620.83,Low
CUST00208,106.0,1,96.57,96.57,15,7.0,6,0,0,3.0,4,4.0,4,0.5,0.0,0,96.57,Medium
CUST00209,1449.0,1,84.09,84.09,20,1200.0,8,1,1,7.5,1,4.0,5,0.25,0.0,0,84.09,High
CUST00210,1594.0,0,0.0,0.0,25,914.0,7,1,4,13.0,3,4.0,7,0.167,0.0,0,0.0,Medium
CUST00211,69.0,10,1861.24,186.12,15,42.0,8,0,1,6.0,0,,4,0.25,0.0,0,1861.24,Low
CUST00212,1721.0,2,541.33,270.67,25,1367.0,8,0,4,12.0,0,,6,0.167,0.0,0,541.33,Medium
CUST00213,999.0,1,43.69,43.69,20,475.0,9,0,1,6.5,1,,3,0.667,0.0,0,43.69,High
CUST00214,596.0,7,1274.49,182.07,5,558.0,1,0,0,0.5,0,,2,0.5,0.0,0,1274.49,High
CUST00215,76.0,3,238.75,79.58,15,62.0,7,2,0,6.5,0,,4,0.0,0.0,0,238.75,Low
CUST00216,966.0,10,2462.28,246.23,15,975.0,6,1,1,6.5,0,,2,0.0,0.0,0,2462.28,High
CUST00217,1133.0,3,1422.32,474.11,15,1116.0,5,2,0,5.5,2,3.5,2,0.0,0.0,0,1422.32,High
CUST00218,767.0,7,1266.3,180.9,15,734.0,2,2,2,8.0,0,,5,0.4,0.5,0,1266.3,High
CUST00219,1172.0,2,223.95,111.98,10,758.0,4,1,1,5.5,0,,2,0.5,0.0,0,223.95,High
CUST00220,1297.0,7,1329.61,189.94,5,1254.0,2,0,0,1.0,1,4.0,5,0.2,0.0,0,1329.61,High
CUST00221,398.0,0,0.0,0.0,10,1.0,3,2,0,4.5,0,,2,0.0,0.0,0,0.0,High
CUST00222,901.0,0,0.0,0.0,15,207.0,5,0,2,6.5,3,3.67,5,0.2,0.0,0,0.0,High
CUST00223,350.0,6,592.06,98.68,25,273.0,7,1,4,13.0,0,,4,0.25,0.0,0,592.06,Medium
CUST00224,1446.0,3,1433.97,477.99,20,930.0,5,0,3,8.5,3,4.5,5,0.2,0.0,0,1433.97,High
CUST00225,799.0,20,2534.12,126.71,15,812.0,8,1,1,7.5,2,4.5,0,0.0,0.0,0,2534.12,High
CUST00226,385.0,9,2785.08,309.45,15,422.0,5,0,0,2.5,0,,2,0.0,0.0,0,2785.08,High
CUST00227,163.0,10,1251.3,125.13,15,285.0,5,3,0,7.0,0,,2,0.0,0.0,0,1251.3,Medium
CUST00228,1239.0,2,149.86,74.93,15,968.0,4,0,2,6.0,0,,4,0.5,0.5,0,149.86,High
CUST00229,152.0,5,912.89,182.58,10,15.0,5,1,2,8.0,1,5.0,6,0.0,0.0,0,912.89,Medium
