transaction_id,customer_id,transaction_date,product_id,product_category,product_name,quantity,unit_price,total_amount,payment_method,order_status
TXN000072,CUST00016,02-05-2021,PROD_009,Books,Cookbook,1,49.89,49.89,Debit Card,Completed
TXN000073,CUST00016,30-09-2021,PROD_002,Sports & Outdoors,Bicycle,1,262.76,262.76,Digital Wallet,Completed
TXN000074,CUST00016,10-04-2021,PROD_019,Electronics,Headphones,1,996.17,996.17,PayPal,Completed
TXN000075,CUST00016,06-05-2021,PROD_026,Food & Beverages,Organic Food Box,1,9.06,9.06,Debit Card,Completed
TXN000076,CUST00017,10-03-2022,PROD_012,Clothing,Dress,1,91.01,91.01,Digital Wallet,Completed
TXN000077,CUST00017,29-04-2022,PROD_008,Food & Beverages,Coffee,1,42.8,42.8,PayPal,Completed
TXN000078,CUST00017,29-03-2021,PROD_029,Health & Wellness,Protein Powder,1,116.88,116.88,Debit Card,Completed
TXN000079,CUST00017,08-06-2021,PROD_026,Food & Beverages,Organic Food Box,1,9.48,9.48,Debit Card,Completed
TXN000080,CUST00017,28-08-2021,PROD_027,Beauty & Personal Care,Perfume,1,65.88,65.88,Credit Card,Completed
TXN000081,CUST00017,16-04-2022,PROD_030,Toys & Games,Puzzle,1,47.29,47.29,Debit Card,Completed
TXN000082,CUST00017,23-02-2021,PROD_025,Health & Wellness,Massage Device,1,23.58,23.58,PayPal,Completed
TXN000083,CUST00018,29-11-2023,PROD_026,Food & Beverages,Organic Food Box,1,70.95,70.95,Debit Card,Completed
TXN000084,CUST00018,07-09-2022,PROD_034,Beauty & Personal Care,Shampoo,1,101.63,101.63,Credit Card,Completed
TXN000085,CUST00018,27-05-2023,PROD_009,Books,Cookbook,1,30.65,30.65,Debit Card,Completed
TXN000086,CUST00018,26-10-2023,PROD_050,Home & Garden,Wall Art,1,32.27,32.27,PayPal,Completed
TXN000087,CUST00018,28-03-2024,PROD_032,Sports & Outdoors,Running Shoes,1,392.71,392.71,Credit Card,Completed
TXN000088,CUST00018,30-01-2024,PROD_009,Books,Cookbook,1,32.7,32.7,Debit Card,Completed
TXN000089,CUST00019,18-01-2024,PROD_035,Clothing,Shoes,1,73.17,73.17,Debit Card,Completed
TXN000090,CUST00019,16-04-2025,PROD_049,Health & Wellness,Vitamins,1,191.33,191.33,Credit Card,Completed
TXN000091,CUST00019,06-10-2023,PROD_027,Beauty & Personal Care,Perfume,2,95.38,190.76,Debit Card,Completed
TXN000092,CUST00019,20-12-2023,PROD_032,Sports & Outdoors,Running Shoes,1,38.44,38.44,Debit Card,Completed
TXN000093,CUST00019,22-02-2025,PROD_029,Health & Wellness,Protein Powder,1,71.37,71.37,Debit Card,Completed
TXN000094,CUST00019,20-07-2024,PROD_029,Health & Wellness,Protein Powder,1,148.55,148.55,PayPal,Completed
TXN000095,CUST00019,11-02-2024,PROD_051,Sports & Outdoors,Water Bottle,1,276.24,276.24,Credit Card,Completed
TXN000096,CUST00019,09-06-2024,PROD_046,Books,Textbook,1,10.44,10.44,Credit Card,Completed
TXN000097,CUST00019,12-03-2025,PROD_018,Health & Wellness,Fitness Tracker,1,82.41,82.41,Debit Card,Completed
TXN000098,CUST00019,18-12-2024,PROD_020,Clothing,Jacket,1,80.23,80.23,Debit Card,Completed
TXN000099,CUST00019,04-09-2024,PROD_035,Clothing,Shoes,1,131.62,131.62,Debit Card,Completed
TXN000100,CUST00019,18-12-2024,PROD_018,Health & Wellness,Fitness Tracker,1,42.11,42.11,Credit Card,Completed
TXN000101,CUST00019,08-10-2023,PROD_011,Home & Garden,Cushion,1,281.18,281.18,Digital Wallet,Completed
TXN000102,CUST00019,22-03-2025,PROD_015,Health & Wellness,Essential Oils,1,182.38,182.38,PayPal,Completed
TXN000103,CUST00019,07-10-2024,PROD_002,Sports & Outdoors,Bicycle,1,49.36,49.36,Digital Wallet,Completed
TXN000104,CUST00019,10-03-2024,PROD_021,Clothing,Jeans,1,22.45,22.45,Debit Card,Returned
TXN000105,CUST00019,06-02-2025,PROD_038,Electronics,Smartphone,1,610.15,610.15,PayPal,Completed
TXN000106,CUST00019,30-11-2024,PROD_004,Toys & Games,Board Game,1,16.91,16.91,Debit Card,Completed
TXN000107,CUST00019,25-03-2025,PROD_045,Food & Beverages,Tea,1,9.98,9.98,Debit Card,Completed
TXN000108,CUST00019,01-10-2024,PROD_048,Toys & Games,Video Game,1,35.18,35.18,PayPal,Completed
TXN000109,CUST00020,12-11-2024,PROD_048,Toys & Games,Video Game,1,74.38,74.38,Credit Card,Completed
TXN000110,CUST00024,10-06-2024,PROD_025,Health & Wellness,Massage Device,1,114.21,114.21,Debit Card,Completed
TXN000111,CUST00025,11-07-2024,PROD_028,Home & Garden,Plant,2,176.48,352.96,PayPal,Completed
TXN000112,CUST00026,10-05-2025,PROD_043,Clothing,T-Shirt,1,159.41,159.41,Credit Card,Completed
TXN000113,CUST00027,19-09-2022,PROD_017,Books,Fiction Novel,1,25.58,25.58,Debit Card,Completed
TXN000114,CUST00027,12-10-2021,PROD_014,Toys & Games,Educational Toy,1,20.25,20.25,Debit Card,Completed
TXN000115,CUST00027,27-08-2023,PROD_026,Food & Beverages,Organic Food Box,1,36.22,36.22,Credit Card,Completed
TXN000116,CUST00027,01-05-2023,PROD_034,Beauty & Personal Care,Shampoo,1,34.9,34.9,PayPal,Completed
TXN000117,CUST00027,07-07-2022,PROD_010,Home & Garden,Curtains,1,68.05,68.05,Credit Card,Completed
TXN000118,CUST00027,23-05-2022,PROD_017,Books,Fiction Novel,1,42.9,42.9,Credit Card,Completed
TXN000119,CUST00027,25-05-2023,PROD_015,Health & Wellness,Essential Oils,1,155.55,155.55,Debit Card,Completed
TXN000120,CUST00027,07-12-2022,PROD_047,Home & Garden,Vase,1,226.15,226.15,Digital Wallet,Completed
TXN000121,CUST00027,29-08-2023,PROD_010,Home & Garden,Curtains,1,116.78,116.78,Credit Card,Completed
TXN000122,CUST00028,01-07-2022,PROD_040,Food & Beverages,Snacks,1,41.96,41.96,PayPal,Completed
TXN000123,CUST00028,13-01-2023,PROD_003,Books,Biography,1,12.17,12.17,Digital Wallet,Completed
TXN000124,CUST00028,30-03-2023,PROD_046,Books,Textbook,1,39.56,39.56,Credit Card,Completed
TXN000125,CUST00028,17-12-2021,PROD_017,Books,Fiction Novel,1,19.65,19.65,Credit Card,Completed
TXN000126,CUST00028,17-07-2023,PROD_017,Books,Fiction Novel,1,34.77,34.77,Credit Card,Completed
TXN000127,CUST00028,06-07-2023,PROD_015,Health & Wellness,Essential Oils,1,45.99,45.99,PayPal,Completed
TXN000128,CUST00028,06-02-2022,PROD_027,Beauty & Personal Care,Perfume,1,139.79,139.79,Debit Card,Completed
TXN000129,CUST00028,01-04-2023,PROD_036,Clothing,Shorts,1,77.86,77.86,PayPal,Completed
TXN000130,CUST00028,02-09-2023,PROD_049,Health & Wellness,Vitamins,1,42.03,42.03,Credit Card,Completed
TXN000131,CUST00028,20-05-2023,PROD_051,Sports & Outdoors,Water Bottle,1,98.64,98.64,Debit Card,Completed
TXN000132,CUST00028,09-03-2022,PROD_026,Food & Beverages,Organic Food Box,1,47.09,47.09,Credit Card,Completed
TXN000133,CUST00028,09-07-2023,PROD_029,Health & Wellness,Protein Powder,1,102.04,102.04,Credit Card,Completed
TXN000134,CUST00029,23-08-2025,PROD_011,Home & Garden,Cushion,1,264.9,264.9,PayPal,Completed
TXN000135,CUST00029,27-05-2024,PROD_017,Books,Fiction Novel,1,48.62,48.62,Digital Wallet,Completed
TXN000136,CUST00029,20-05-2025,PROD_018,Health & Wellness,Fitness Tracker,1,158.25,158.25,Credit Card,Completed
TXN000137,CUST00029,28-03-2025,PROD_015,Health & Wellness,Essential Oils,1,162.14,162.14,Credit Card,Completed
TXN000138,CUST00030,30-05-2022,PROD_012,Clothing,Dress,1,126.27,126.27,Credit Card,Completed
TXN000139,CUST00030,18-01-2022,PROD_049,Health & Wellness,Vitamins,1,49.07,49.07,Credit Card,Completed
TXN000140,CUST00030,27-09-2020,PROD_035,Clothing,Shoes,1,56.32,56.32,Digital Wallet,Completed
TXN000141,CUST00030,10-11-2020,PROD_026,Food & Beverages,Organic Food Box,1,81.36,81.36,Debit Card,Completed
TXN000142,CUST00030,07-05-2021,PROD_045,Food & Beverages,Tea,1,71.31,71.31,Credit Card,Completed
TXN000143,CUST00030,28-04-2021,PROD_006,Electronics,Camera,1,730.03,730.03,Debit Card,Completed
TXN000144,CUST00030,23-11-2020,PROD_007,Sports & Outdoors,Camping Tent,1,27.87,27.87,Credit Card,Completed
TXN000145,CUST00030,20-09-2020,PROD_020,Clothing,Jacket,1,90.09,90.09,Credit Card,Completed
TXN000146,CUST00030,09-07-2022,PROD_024,Beauty & Personal Care,Makeup Kit,1,23.66,23.66,Debit Card,Completed
TXN000147,CUST00030,14-01-2022,PROD_004,Toys & Games,Board Game,1,64.61,64.61,Credit Card,Completed
TXN000148,CUST00030,09-10-2021,PROD_006,Electronics,Camera,1,1131.47,1131.47,Credit Card,Completed
TXN000149,CUST00030,07-11-2021,PROD_048,Toys & Games,Video Game,1,75.89,75.89,Credit Card,Completed
TXN000150,CUST00031,23-06-2024,PROD_024,Beauty & Personal Care,Makeup Kit,1,56.99,56.99,Debit Card,Completed
TXN000151,CUST00031,08-04-2025,PROD_011,Home & Garden,Cushion,1,150.18,150.18,PayPal,Returned
TXN000152,CUST00031,18-01-2025,PROD_049,Health & Wellness,Vitamins,1,197.02,197.02,PayPal,Completed
TXN000153,CUST00031,06-07-2025,PROD_011,Home & Garden,Cushion,1,28.21,28.21,Digital Wallet,Completed
TXN000154,CUST00031,14-01-2025,PROD_039,Electronics,Smartwatch,1,1085.63,1085.63,Debit Card,Completed
TXN000155,CUST00031,22-09-2025,PROD_028,Home & Garden,Plant,1,219.18,219.18,Credit Card,Completed
TXN000156,CUST00033,24-06-2024,PROD_027,Beauty & Personal Care,Perfume,1,123.03,123.03,Debit Card,Returned
TXN000157,CUST00034,24-01-2023,PROD_002,Sports & Outdoors,Bicycle,1,57.4,57.4,Debit Card,Completed
TXN000158,CUST00034,25-03-2023,PROD_009,Books,Cookbook,1,47.72,47.72,Debit Card,Completed
TXN000159,CUST00034,07-02-2024,PROD_048,Toys & Games,Video Game,1,54.28,54.28,PayPal,Completed
TXN000160,CUST00034,19-09-2022,PROD_037,Beauty & Personal Care,Skincare Set,1,76.68,76.68,Digital Wallet,Completed
TXN000161,CUST00034,10-11-2023,PROD_024,Beauty & Personal Care,Makeup Kit,1,106.01,106.01,PayPal,Completed
TXN000162,CUST00034,29-05-2022,PROD_001,Toys & Games,Action Figure,1,80.25,80.25,PayPal,Completed
TXN000163,CUST00034,28-12-2023,PROD_039,Electronics,Smartwatch,1,101.03,101.03,Debit Card,Completed
TXN000164,CUST00034,23-12-2022,PROD_051,Sports & Outdoors,Water Bottle,1,479.11,479.11,Credit Card,Completed
TXN000165,CUST00034,30-08-2022,PROD_002,Sports & Outdoors,Bicycle,1,72.27,72.27,Credit Card,Completed
TXN000166,CUST00034,28-06-2023,PROD_041,Electronics,Speaker,1,321.16,321.16,Credit Card,Completed
TXN000167,CUST00034,04-07-2023,PROD_050,Home & Garden,Wall Art,2,290.53,581.06,PayPal,Completed
TXN000168,CUST00034,15-12-2023,PROD_051,Sports & Outdoors,Water Bottle,1,207,207,Credit Card,Completed
TXN000169,CUST00034,14-08-2023,PROD_005,Books,Business Book,1,15.83,15.83,Credit Card,Completed
TXN000170,CUST00034,02-09-2022,PROD_048,Toys & Games,Video Game,1,92.57,92.57,Debit Card,Completed
TXN000171,CUST00034,09-02-2023,PROD_030,Toys & Games,Puzzle,1,89.8,89.8,Credit Card,Completed
TXN000172,CUST00034,26-10-2023,PROD_019,Electronics,Headphones,1,503.64,503.64,Debit Card,Completed
TXN000173,CUST00034,03-01-2024,PROD_004,Toys & Games,Board Game,1,66.62,66.62,Credit Card,Completed
TXN000174,CUST00034,10-06-2023,PROD_003,Books,Biography,1,40.67,40.67,Credit Card,Completed
TXN000175,CUST00034,09-08-2022,PROD_016,Beauty & Personal Care,Face Cream,1,24.51,24.51,Credit Card,Completed
TXN000176,CUST00034,01-06-2022,PROD_024,Beauty & Personal Care,Makeup Kit,1,24.91,24.91,Credit Card,Completed
TXN000177,CUST00035,25-03-2021,PROD_051,Sports & Outdoors,Water Bottle,1,143.06,143.06,Debit Card,Completed
TXN000178,CUST00035,14-11-2020,PROD_014,Toys & Games,Educational Toy,1,20.34,20.34,Digital Wallet,Completed
TXN000179,CUST00035,31-05-2020,PROD_016,Beauty & Personal Care,Face Cream,1,94.99,94.99,PayPal,Completed
TXN000180,CUST00035,08-01-2021,PROD_025,Health & Wellness,Massage Device,1,164.68,164.68,Digital Wallet,Completed
TXN000181,CUST00035,29-11-2021,PROD_049,Health & Wellness,Vitamins,1,141.3,141.3,Debit Card,Completed
TXN000182,CUST00035,26-06-2021,PROD_052,Food & Beverages,Wine,2,54.04,108.07,Debit Card,Completed
TXN000183,CUST00036,01-11-2023,PROD_013,Sports & Outdoors,Dumbbells,1,314.86,314.86,Credit Card,Completed
TXN000184,CUST00036,29-03-2024,PROD_040,Food & Beverages,Snacks,1,59.39,59.39,PayPal,Completed
TXN000185,CUST00036,17-03-2023,PROD_013,Sports & Outdoors,Dumbbells,1,437.7,437.7,Credit Card,Completed
TXN000186,CUST00036,05-09-2023,PROD_051,Sports & Outdoors,Water Bottle,1,22.08,22.08,Credit Card,Completed
TXN000187,CUST00036,09-10-2022,PROD_028,Home & Garden,Plant,1,89.5,89.5,Credit Card,Completed
TXN000188,CUST00036,23-07-2024,PROD_049,Health & Wellness,Vitamins,1,43.17,43.17,Debit Card,Completed
TXN000189,CUST00036,04-07-2024,PROD_049,Health & Wellness,Vitamins,1,77.5,77.5,Digital Wallet,Completed
TXN000190,CUST00037,26-02-2021,PROD_030,Toys & Games,Puzzle,1,84.27,84.27,Credit Card,Completed
TXN000191,CUST00037,24-06-2022,PROD_010,Home & Garden,Curtains,1,49.96,49.96,Debit Card,Completed
TXN000192,CUST00037,13-05-2022,PROD_028,Home & Garden,Plant,1,11.36,11.36,Debit Card,Completed
TXN000193,CUST00037,15-05-2022,PROD_026,Food & Beverages,Organic Food Box,1,84.19,84.19,Credit Card,Completed
TXN000194,CUST00037,03-04-2022,PROD_042,Clothing,Sweater,1,166.93,166.93,Credit Card,Completed
TXN000195,CUST00038,09-01-2023,PROD_043,Clothing,T-Shirt,1,97.77,97.77,Credit Card,Completed
TXN000196,CUST00038,28-07-2022,PROD_043,Clothing,T-Shirt,1,81.5,81.5,Debit Card,Completed
TXN000197,CUST00038,27-08-2023,PROD_031,Home & Garden,Rug,1,170.86,170.86,Debit Card,Completed
TXN000198,CUST00038,03-01-2022,PROD_019,Electronics,Headphones,1,1424.35,1424.35,Debit Card,Completed
TXN000199,CUST00038,29-10-2023,PROD_037,Beauty & Personal Care,Skincare Set,1,43.2,43.2,Credit Card,Completed
TXN000200,CUST00038,30-09-2023,PROD_046,Books,Textbook,1,25.9,25.9,Debit Card,Completed
TXN000201,CUST00038,20-03-2022,PROD_002,Sports & Outdoors,Bicycle,1,75.45,75.45,Credit Card,Completed
TXN000202,CUST00038,11-02-2023,PROD_042,Clothing,Sweater,1,145.42,145.42,PayPal,Completed
TXN000203,CUST00038,02-10-2022,PROD_011,Home & Garden,Cushion,1,286.51,286.51,Debit Card,Completed
TXN000204,CUST00038,23-01-2023,PROD_021,Clothing,Jeans,1,36.85,36.85,Credit Card,Returned
TXN000205,CUST00038,13-03-2023,PROD_027,Beauty & Personal Care,Perfume,1,80.76,80.76,PayPal,Completed
TXN000206,CUST00038,12-05-2023,PROD_053,Sports & Outdoors,Yoga Mat,1,20.62,20.62,Credit Card,Completed
TXN000207,CUST00038,08-01-2022,PROD_010,Home & Garden,Curtains,1,239.14,239.14,Credit Card,Completed
TXN000208,CUST00038,18-08-2023,PROD_037,Beauty & Personal Care,Skincare Set,1,101.78,101.78,Debit Card,Completed
TXN000209,CUST00038,14-07-2023,PROD_037,Beauty & Personal Care,Skincare Set,2,66.76,133.52,PayPal,Completed
TXN000210,CUST00039,07-11-2021,PROD_043,Clothing,T-Shirt,1,18.81,18.81,Credit Card,Completed
TXN000211,CUST00040,23-10-2024,PROD_031,Home & Garden,Rug,2,199.3,398.59,PayPal,Completed
TXN000212,CUST00040,30-10-2024,PROD_005,Books,Business Book,1,17.75,17.75,Debit Card,Completed
TXN000213,CUST00040,08-04-2025,PROD_006,Electronics,Camera,1,805.53,805.53,Debit Card,Completed
TXN000214,CUST00041,10-09-2025,PROD_005,Books,Business Book,1,45.91,45.91,Debit Card,Completed
TXN000215,CUST00041,28-07-2025,PROD_034,Beauty & Personal Care,Shampoo,1,33.16,33.16,Debit Card,Completed
TXN000216,CUST00041,22-07-2025,PROD_015,Health & Wellness,Essential Oils,1,92.77,92.77,Digital Wallet,Completed
TXN000217,CUST00041,05-06-2025,PROD_037,Beauty & Personal Care,Skincare Set,1,114.6,114.6,PayPal,Completed
TXN000218,CUST00041,12-09-2025,PROD_037,Beauty & Personal Care,Skincare Set,1,82.15,82.15,Debit Card,Completed
TXN000219,CUST00041,18-09-2025,PROD_016,Beauty & Personal Care,Face Cream,1,47.24,47.24,Credit Card,Completed
TXN000220,CUST00041,22-02-2025,PROD_012,Clothing,Dress,1,49.84,49.84,Credit Card,Completed
TXN000221,CUST00041,17-02-2025,PROD_010,Home & Garden,Curtains,1,73.43,73.43,Digital Wallet,Completed
TXN000222,CUST00041,16-04-2025,PROD_045,Food & Beverages,Tea,1,69.59,69.59,Debit Card,Completed
TXN000223,CUST00042,02-01-2025,PROD_003,Books,Biography,1,12.87,12.87,Credit Card,Completed
TXN000224,CUST00042,03-04-2025,PROD_039,Electronics,Smartwatch,2,166.62,333.24,Credit Card,Completed
TXN000225,CUST00042,17-10-2025,PROD_002,Sports & Outdoors,Bicycle,1,51.78,51.78,Digital Wallet,Completed
TXN000226,CUST00043,14-11-2023,PROD_041,Electronics,Speaker,1,378.34,378.34,Credit Card,Completed
TXN000227,CUST00043,23-05-2024,PROD_006,Electronics,Camera,2,531.4,1062.79,Credit Card,Completed
TXN000228,CUST00043,13-07-2024,PROD_008,Food & Beverages,Coffee,1,80.57,80.57,Credit Card,Completed
TXN000229,CUST00043,02-09-2023,PROD_044,Electronics,Tablet,1,888.21,888.21,PayPal,Completed
TXN000230,CUST00044,24-11-2022,PROD_043,Clothing,T-Shirt,1,160.38,160.38,PayPal,Completed
TXN000231,CUST00044,07-01-2023,PROD_053,Sports & Outdoors,Yoga Mat,1,437.62,437.62,Credit Card,Completed
TXN000232,CUST00044,11-04-2022,PROD_008,Food & Beverages,Coffee,1,95.23,95.23,Debit Card,Completed
TXN000233,CUST00044,04-08-2023,PROD_028,Home & Garden,Plant,1,233.62,233.62,PayPal,Completed
TXN000234,CUST00044,23-05-2022,PROD_051,Sports & Outdoors,Water Bottle,1,226.58,226.58,Digital Wallet,Completed
TXN000235,CUST00046,23-01-2022,PROD_003,Books,Biography,1,48.64,48.64,Debit Card,Completed
TXN000236,CUST00046,17-06-2023,PROD_004,Toys & Games,Board Game,1,51.68,51.68,Debit Card,Completed
TXN000237,CUST00046,23-09-2023,PROD_018,Health & Wellness,Fitness Tracker,1,194.45,194.45,Credit Card,Completed
TXN000238,CUST00046,28-04-2022,PROD_029,Health & Wellness,Protein Powder,1,105.97,105.97,Debit Card,Completed
TXN000239,CUST00047,22-06-2024,PROD_051,Sports & Outdoors,Water Bottle,1,143.47,143.47,Debit Card,Completed
