customer_id,nps_score,social_shares,purchase_frequency,customer_tenure_months,email_engagement_score,reviews_written,referral_program_aware,customer_support_contacts,loyalty_program_member,avg_order_value,product_category_diversity,mobile_app_user,community_engagement,referral_likelihood_score,did_refer
CUST00077,2,0,1,4,0.19,1,1,2,1,30.28,2,1,1,0.11,0
CUST00078,8,2,4,18,0.88,0,1,1,0,148.32,3,1,1,0.3,1
CUST00079,6,0,8,11,0.55,0,1,1,1,84.63,1,1,0,0.18,0
CUST00080,6,0,1,15,0.3,1,1,0,1,132.03,3,0,0,0.17,0
CUST00081,4,1,4,10,0.29,1,1,0,0,156.8,2,0,0,0.11,0
CUST00082,10,3,1,13,0.86,1,0,1,0,126.69,5,0,0,0.28,1
CUST00083,6,0,2,6,0.48,0,0,0,1,161.06,2,0,0,0.08,0
CUST00084,9,2,2,1,0.62,0,0,3,1,119.31,1,0,0,0.11,0
CUST00085,3,0,5,6,0.38,0,1,2,1,99.98,3,0,0,0.13,0
CUST00086,5,1,3,27,0.35,0,0,0,0,123.99,3,0,0,0.08,0
CUST00087,2,0,13,4,0.34,0,0,0,1,90.44,3,0,0,0.12,1
CUST00088,10,3,2,7,0.77,0,1,1,0,122.57,3,1,1,0.33,0
CUST00089,3,0,4,3,0.03,0,0,2,1,126.65,1,1,1,0.05,0
CUST00090,10,3,6,22,0.53,1,0,0,1,96.21,2,1,0,0.27,0
CUST00091,8,3,5,14,0.82,0,1,3,0,64.91,2,1,0,0.31,0
CUST00092,9,2,4,49,0.78,3,1,2,0,56.17,3,0,0,0.3,0
CUST00093,9,1,1,113,0.47,3,1,0,0,210.27,1,0,1,0.29,0
CUST00094,9,2,1,1,0.75,3,1,1,0,171.63,2,0,0,0.32,1
CUST00095,6,0,2,5,0.35,0,1,2,0,113.36,4,0,0,0.06,0
CUST00096,2,1,12,6,0.15,1,1,0,0,76.06,1,1,0,0.15,0
CUST00097,9,2,1,5,0.98,1,1,3,0,159.78,4,0,0,0.22,0
CUST00098,9,3,1,142,0.69,0,0,0,1,165.79,1,1,0,0.23,1
CUST00099,8,1,27,3,0.4,2,1,1,0,210.45,1,1,0,0.26,1
CUST00100,4,0,3,59,0.34,0,1,3,1,159.74,2,0,0,0.12,0
CUST00101,9,3,3,1,0.48,2,0,1,1,168.6,2,1,1,0.27,0
CUST00102,10,1,1,15,0.94,3,1,1,1,66.49,1,0,0,0.38,0
CUST00103,10,0,2,4,0.76,1,1,0,0,179.29,2,1,0,0.27,1
CUST00104,8,2,2,3,0.88,1,1,3,1,136.76,2,1,0,0.23,1
CUST00105,9,2,1,45,0.91,1,1,2,1,89.5,3,1,0,0.28,0
CUST00106,8,1,1,1,0.59,0,0,0,1,110.02,4,0,1,0.16,0
CUST00107,9,0,4,26,0.62,0,0,0,0,202.72,3,0,0,0.16,0
CUST00108,1,2,6,12,0.45,2,0,2,0,131.93,4,1,0,0.12,0
CUST00109,7,3,5,8,0.65,0,1,0,0,198.73,2,1,1,0.24,0
CUST00110,9,2,1,2,0.68,2,0,1,0,123.71,1,0,0,0.18,1
CUST00111,3,0,1,14,0.42,0,1,0,0,111.88,2,1,0,0.14,0
CUST00112,10,1,1,1,0.82,1,1,1,0,98.26,1,0,0,0.27,0
CUST00113,3,0,3,1,0.09,0,0,2,1,97.91,3,0,0,0.03,1
CUST00114,8,4,1,11,0.76,1,0,1,0,158.5,4,1,0,0.23,0
CUST00115,5,0,9,7,0.45,0,0,1,0,131.71,3,1,0,0.09,0
CUST00116,4,0,1,6,0.29,0,0,0,1,46.7,1,1,0,0.08,0
CUST00117,4,0,9,10,0.23,0,0,0,1,115.07,2,0,1,0.14,1
CUST00118,10,5,3,16,0.77,1,1,2,0,72.15,1,0,0,0.29,1
CUST00119,10,3,1,97,0.59,1,0,0,0,160.48,2,0,1,0.22,0
CUST00120,8,2,2,13,0.52,0,1,3,0,131.49,2,0,0,0.15,0
CUST00121,6,0,7,197,0.23,1,1,0,0,132.85,4,0,1,0.2,0
CUST00122,2,1,21,12,0.58,0,0,0,1,79.75,5,0,1,0.17,0
CUST00123,9,1,1,22,0.72,3,0,0,0,93.28,2,0,0,0.29,0
CUST00124,3,2,3,19,0.21,0,0,0,0,75.09,1,1,1,0.1,0
CUST00125,10,2,1,10,0.53,2,1,1,0,61.1,3,0,0,0.24,0
CUST00126,9,2,1,26,0.51,0,1,0,0,91.82,1,1,0,0.22,0
CUST00127,0,0,3,3,0.61,0,1,2,0,83.13,4,0,1,0.08,0
CUST00128,8,4,5,4,0.74,1,0,1,1,113.72,5,0,0,0.3,0
CUST00129,5,0,2,5,0.16,0,1,0,1,105.6,1,1,0,0.14,0
CUST00130,3,1,7,2,0.59,0,0,0,0,41.53,4,0,0,0.09,0
CUST00131,0,0,3,7,0.0,0,1,0,1,155.31,2,1,0,0.14,0
CUST00132,10,1,5,19,0.79,2,0,0,0,127.41,4,0,1,0.35,0
CUST00133,9,2,3,8,0.68,5,0,0,0,118.15,1,1,1,0.2,0
CUST00134,4,1,11,3,0.25,0,1,1,0,82.42,1,1,0,0.15,0
CUST00135,7,1,17,25,0.96,0,0,0,0,189.0,4,1,1,0.25,0
CUST00136,5,1,1,16,0.72,1,1,2,1,121.2,5,1,0,0.2,0
CUST00137,8,3,5,51,0.68,1,0,2,1,110.66,1,0,0,0.2,0
CUST00138,8,1,6,8,0.46,3,1,0,0,182.04,1,0,1,0.28,1
CUST00139,7,1,1,6,0.95,0,1,0,0,209.25,4,1,1,0.24,0
CUST00140,9,2,1,14,0.85,0,1,0,0,139.65,2,1,0,0.3,0
CUST00141,4,1,4,5,0.05,0,1,0,1,98.07,1,0,0,0.14,0
CUST00142,0,2,8,24,0.15,0,1,0,0,185.69,3,0,0,0.18,0
CUST00143,4,1,1,20,0.05,0,1,0,1,156.15,4,1,0,0.17,0
CUST00144,10,5,1,2,0.7,1,0,1,1,106.77,4,0,0,0.28,0
CUST00145,7,3,3,73,0.67,0,0,2,0,96.33,2,0,1,0.12,0
CUST00146,9,3,2,11,0.44,1,1,0,0,88.34,2,1,0,0.23,1
CUST00147,6,2,6,2,0.39,0,0,3,0,131.71,2,0,1,0.06,0
CUST00148,7,3,1,4,0.92,0,1,1,0,95.4,3,1,0,0.26,0
CUST00149,0,1,2,36,0.56,2,0,2,1,78.71,4,0,0,0.11,0
CUST00150,8,1,1,17,0.79,0,1,3,0,118.94,1,1,1,0.25,0
CUST00151,5,0,2,68,0.39,0,1,1,0,76.2,1,0,0,0.14,0
CUST00152,2,0,5,51,0.16,1,1,0,0,183.77,3,0,0,0.18,0
CUST00153,10,3,5,13,0.51,2,1,2,0,86.22,4,0,0,0.3,1
CUST00154,6,0,3,4,0.11,0,0,0,0,155.57,4,1,0,0.05,0
CUST00155,6,0,4,255,0.34,0,1,3,0,98.99,2,0,1,0.11,0
CUST00156,3,0,3,266,0.35,1,0,1,0,75.55,3,0,0,0.08,0
CUST00157,0,1,5,2,0.3,0,0,0,0,139.12,1,0,0,0.09,0
CUST00158,5,2,1,1,0.49,0,0,2,1,74.37,3,0,0,0.03,0
CUST00159,8,1,3,8,0.79,0,1,1,1,117.74,3,0,0,0.28,0
CUST00160,7,5,1,7,0.66,1,0,2,0,142.33,1,1,0,0.07,0
CUST00161,9,3,3,4,0.64,3,0,1,0,92.21,1,1,0,0.22,0
CUST00162,2,1,5,23,0.17,0,1,0,0,133.35,4,1,0,0.18,0
CUST00163,10,2,4,72,0.81,0,0,2,0,74.64,1,0,0,0.19,0
CUST00164,9,4,3,18,0.77,0,1,0,1,144.85,3,0,0,0.37,0
CUST00165,6,0,5,14,0.12,1,1,3,1,172.41,4,0,0,0.16,1
CUST00166,3,1,6,19,0.14,1,0,1,0,180.07,1,1,0,0.12,0
CUST00167,8,6,5,2,0.62,5,0,0,1,25.5,3,0,1,0.29,1
CUST00168,7,4,8,63,0.89,1,0,1,0,158.09,4,1,0,0.27,0
CUST00169,7,2,4,11,0.85,0,0,1,1,113.21,4,1,0,0.19,0
CUST00170,10,2,4,10,0.84,0,1,1,1,90.02,1,0,0,0.3,1
CUST00171,3,0,2,1,0.31,0,0,0,1,73.11,1,0,1,0.1,0
CUST00172,6,1,3,3,0.59,0,1,0,1,115.7,1,0,0,0.14,0
CUST00173,2,0,1,67,0.15,0,1,2,1,150.68,4,0,0,0.12,0
CUST00174,9,3,2,31,0.95,0,1,0,0,104.2,3,0,0,0.34,0
CUST00175,8,1,28,5,0.57,3,0,1,0,100.63,1,0,1,0.22,0
CUST00176,4,1,4,7,0.21,1,1,0,0,87.85,2,1,0,0.11,0
CUST00177,5,0,2,9,0.47,0,1,3,1,140.6,2,1,0,0.09,1
CUST00178,5,0,22,12,0.2,0,1,0,1,50.11,1,1,0,0.21,0
CUST00179,6,0,2,38,0.24,0,1,1,1,136.13,2,0,0,0.17,0
CUST00180,7,2,4,12,0.94,2,1,0,0,164.61,3,1,0,0.3,0
CUST00181,2,0,7,4,0.08,0,0,1,0,111.43,5,0,0,0.09,0
CUST00182,7,7,1,68,0.84,0,1,0,0,96.2,2,1,0,0.29,0
CUST00183,7,2,1,2,0.85,0,1,1,1,74.61,4,0,0,0.25,0
CUST00184,6,0,3,11,0.06,0,1,0,0,147.1,2,0,1,0.13,0
CUST00185,10,3,2,79,0.93,1,1,0,0,171.91,2,0,0,0.34,0
CUST00186,7,2,2,16,0.83,1,1,0,0,68.37,3,1,0,0.25,0
CUST00187,2,0,2,13,0.18,0,0,2,1,130.09,3,0,0,0.06,0
CUST00188,6,0,8,41,0.3,1,0,0,1,51.85,2,1,1,0.17,0
CUST00189,10,6,4,4,0.88,2,0,2,0,132.33,4,0,0,0.25,0
CUST00190,8,1,11,4,0.94,2,1,0,0,177.71,1,1,0,0.34,0
CUST00191,5,0,7,1,0.49,1,0,0,0,65.57,3,1,0,0.09,0
CUST00192,1,2,4,6,0.19,0,0,0,0,115.98,3,0,1,0.07,0
CUST00193,5,1,3,7,0.39,1,0,1,1,92.87,1,0,0,0.08,0
CUST00194,2,0,1,6,0.25,0,1,1,0,99.34,2,0,0,0.11,1
CUST00195,1,0,1,3,0.3,0,0,0,0,105.35,3,1,0,0.05,0
CUST00196,6,0,1,43,0.07,0,1,3,1,160.18,4,0,0,0.12,0
CUST00197,7,2,14,6,0.64,1,1,0,1,144.43,5,0,0,0.21,0
CUST00198,5,1,6,16,0.59,0,1,0,0,86.91,3,0,0,0.18,0
CUST00199,5,0,5,13,0.14,0,1,0,0,24.83,1,0,0,0.18,0
CUST00200,7,1,3,10,0.62,0,1,0,1,71.96,3,0,0,0.17,0
CUST00201,10,5,2,3,0.47,1,1,1,0,198.07,1,0,1,0.25,0
CUST00202,8,1,6,22,0.42,3,1,0,0,183.82,2,0,0,0.29,0
CUST00203,3,0,1,9,0.2,0,0,1,1,135.21,2,0,0,0.08,0
CUST00204,8,6,2,1,0.77,1,1,1,0,128.83,2,0,0,0.29,0
CUST00205,1,0,1,3,0.31,0,1,0,1,130.75,2,0,0,0.14,0
CUST00206,6,1,2,8,0.28,0,1,0,0,129.81,5,0,0,0.11,0
CUST00207,7,3,1,2,0.57,0,0,1,0,163.2,4,1,0,0.12,0
CUST00208,4,0,10,72,0.1,0,1,0,0,217.43,4,0,0,0.18,0
CUST00209,7,0,8,25,0.85,0,1,0,1,100.19,3,1,1,0.34,1
CUST00210,7,5,5,4,0.8,1,1,1,1,89.63,2,1,0,0.33,1
CUST00211,8,2,2,5,0.68,3,1,1,0,174.38,5,0,0,0.22,0
CUST00212,8,2,10,18,0.53,1,0,0,0,114.26,2,0,0,0.18,0
CUST00213,4,0,2,64,0.48,0,0,0,0,123.1,3,0,1,0.1,0
CUST00214,6,0,3,9,0.39,1,1,0,0,84.48,1,1,0,0.11,0
CUST00215,7,1,3,3,0.67,0,0,0,0,142.83,1,1,0,0.08,0
CUST00216,7,1,1,2,0.82,0,0,3,0,93.12,3,0,0,0.11,0
CUST00217,9,1,7,4,0.98,1,1,0,0,169.68,1,1,1,0.33,0
CUST00218,10,1,2,96,0.73,0,1,1,0,150.55,1,0,1,0.32,0
CUST00219,5,1,1,20,0.53,0,1,0,0,118.39,1,0,0,0.14,0
CUST00220,1,2,1,9,0.22,1,0,2,0,130.1,4,0,0,0.01,0
CUST00221,8,1,6,4,0.34,1,0,0,0,179.91,1,0,0,0.15,0
CUST00222,0,1,3,29,0.46,1,0,2,0,135.13,1,0,0,0.03,0
CUST00223,7,4,2,2,0.6,1,1,3,0,128.44,1,1,0,0.13,0
CUST00224,5,0,1,1,0.38,0,0,1,1,180.36,4,1,0,0.08,0
CUST00225,6,0,1,9,0.22,1,1,2,1,69.87,1,1,1,0.11,0
CUST00226,6,0,3,113,0.28,0,1,0,1,152.91,5,0,1,0.19,1
CUST00227,8,4,5,10,0.78,2,1,0,0,167.25,2,1,1,0.4,0
CUST00228,3,2,6,7,0.16,0,1,1,1,78.77,5,0,0,0.18,0
CUST00229,3,0,1,15,0.43,0,1,0,0,63.6,1,1,0,0.14,1
CUST00230,8,3,4,5,0.35,2,1,3,0,109.72,1,0,0,0.21,0
CUST00231,0,3,5,14,0.29,0,1,1,0,73.12,1,1,0,0.22,1
CUST00232,4,0,9,6,0.37,2,1,0,1,134.49,3,0,0,0.23,0
CUST00233,9,1,3,2,0.52,1,0,0,0,97.61,2,0,0,0.13,0
CUST00234,9,3,1,3,0.73,1,0,2,0,128.15,1,1,0,0.2,0
CUST00235,4,1,9,56,0.29,0,0,0,0,129.54,1,1,0,0.12,0
CUST00236,7,3,1,11,0.9,2,0,0,0,102.0,5,0,0,0.25,0
CUST00237,8,1,4,13,0.83,1,0,1,1,96.23,2,0,0,0.25,1
CUST00238,6,1,1,46,0.16,0,0,2,0,70.05,1,1,0,0.03,0
CUST00239,2,0,8,5,0.22,0,1,0,1,110.3,1,1,0,0.18,0
CUST00240,8,2,2,19,0.89,3,0,0,0,133.58,2,0,1,0.29,0
CUST00241,7,5,3,35,0.5,1,0,0,1,151.97,2,1,0,0.18,0
CUST00242,4,1,1,3,0.14,0,1,0,0,122.69,3,0,0,0.11,0
CUST00243,5,0,7,22,0.18,0,1,1,1,127.75,2,0,0,0.21,1
CUST00244,10,1,4,38,0.97,1,1,2,0,65.63,3,0,0,0.25,1
CUST00245,5,0,2,19,0.07,0,1,0,0,205.07,1,1,0,0.14,0
CUST00246,7,2,10,1,0.73,0,1,1,0,27.39,2,0,1,0.28,1
CUST00247,2,0,4,4,0.78,1,0,1,0,153.8,2,0,1,0.15,1
CUST00248,8,2,3,16,0.47,0,0,2,0,121.02,3,0,0,0.09,0
CUST00249,1,0,1,9,0.22,0,1,1,0,48.87,2,0,0,0.11,1
CUST00250,9,6,1,1,0.49,0,1,2,0,47.29,2,1,0,0.18,0
CUST00251,3,0,4,8,0.3,0,0,1,1,95.7,2,1,0,0.08,0
CUST00252,8,1,6,34,0.74,0,1,0,0,67.2,5,0,0,0.32,1
CUST00253,9,2,3,9,0.55,1,1,1,1,123.59,3,0,1,0.24,0
CUST00254,6,1,5,24,0.3,1,1,3,0,106.76,4,0,1,0.15,0
CUST00255,6,1,9,3,0.6,0,0,0,0,34.95,4,0,0,0.09,0
CUST00256,7,3,7,40,0.78,0,1,1,0,137.16,2,0,0,0.33,0
CUST00257,8,1,4,4,0.58,2,1,0,0,110.23,2,1,0,0.22,1
CUST00258,3,0,2,52,0.21,0,1,0,0,115.55,3,1,0,0.14,1
CUST00259,8,1,7,5,0.92,1,1,2,0,207.05,2,0,0,0.24,0
CUST00260,10,5,4,3,0.61,0,0,0,0,91.82,2,0,0,0.17,0
CUST00261,10,3,3,18,0.9,0,1,0,0,119.75,3,0,0,0.34,0
CUST00262,7,4,8,1,0.62,0,0,1,0,187.95,1,0,0,0.16,1
CUST00263,8,5,7,12,0.78,1,1,0,1,154.18,5,0,0,0.39,0
CUST00264,8,2,2,8,0.7,0,0,3,0,30.26,2,0,1,0.16,0
CUST00265,8,2,2,12,0.77,0,1,0,0,174.3,2,0,0,0.28,1
CUST00266,5,0,1,3,0.34,1,0,0,0,116.97,2,1,1,0.07,0
CUST00267,6,1,3,6,0.27,1,1,0,0,161.94,5,0,0,0.11,0
CUST00268,10,2,7,8,0.36,2,0,0,0,128.64,1,0,0,0.22,0
CUST00269,7,3,3,6,0.69,1,1,0,0,124.35,1,0,0,0.18,0
CUST00270,3,2,2,10,0.39,1,0,0,0,85.06,1,0,0,0.05,0
CUST00271,10,3,1,28,0.79,5,1,1,1,112.59,1,1,1,0.44,0
CUST00272,7,0,7,6,0.42,0,1,1,0,86.38,5,0,0,0.18,0
CUST00273,8,3,3,14,0.48,1,0,1,1,131.91,1,0,1,0.23,0
CUST00274,5,1,5,21,0.06,1,0,0,0,125.58,4,0,0,0.12,0
CUST00275,9,2,2,22,0.74,1,0,1,1,172.33,5,1,0,0.27,1
CUST00276,9,5,5,16,0.94,0,1,0,1,95.98,2,1,0,0.41,1
CUST00277,9,2,1,2,0.67,1,0,3,0,195.48,1,0,0,0.08,0
CUST00278,10,2,5,13,0.8,0,0,0,0,111.99,3,0,0,0.28,0
CUST00279,4,0,1,5,0.25,0,0,0,0,138.68,4,0,1,0.07,0
CUST00280,4,1,1,23,0.22,0,1,0,0,168.11,4,1,0,0.14,0
CUST00281,9,1,1,15,0.85,0,0,1,0,159.28,4,0,0,0.24,0
CUST00282,8,1,2,16,0.81,3,1,3,0,93.16,1,1,0,0.28,1
CUST00283,6,2,2,5,0.32,1,1,1,0,126.15,2,1,0,0.11,0
CUST00284,7,5,2,27,0.7,0,0,2,0,150.89,2,0,0,0.18,0
CUST00285,9,3,1,2,0.87,2,1,1,0,115.24,1,1,1,0.38,0
CUST00286,5,2,1,9,0.53,0,1,1,0,112.75,1,1,0,0.11,0
CUST00287,7,2,1,4,0.49,0,0,2,1,107.26,2,0,0,0.06,0
CUST00288,8,2,1,22,0.71,1,0,0,1,186.2,3,0,0,0.25,0
CUST00289,7,1,1,2,0.43,0,1,1,0,143.71,3,0,0,0.14,0
CUST00290,9,4,4,18,0.85,1,0,0,0,152.53,3,1,0,0.28,0
CUST00291,7,1,3,10,0.95,0,1,1,0,117.76,5,0,0,0.22,0
CUST00292,5,3,11,7,0.41,0,1,2,0,109.38,4,0,0,0.14,1
CUST00293,8,2,2,2,0.76,1,1,1,0,166.04,2,1,1,0.27,0
CUST00294,10,4,8,9,0.52,1,1,0,0,108.05,5,0,0,0.27,0
CUST00295,6,0,2,17,0.06,0,0,0,0,28.02,3,0,0,0.08,1
CUST00296,7,3,2,15,0.56,1,0,0,0,117.18,4,0,0,0.15,0
CUST00297,8,3,4,10,0.88,2,0,0,0,85.86,4,1,1,0.3,0
CUST00298,6,0,4,15,0.42,1,1,0,0,159.18,1,1,0,0.14,0
CUST00299,5,0,7,9,0.08,0,1,1,0,126.79,1,0,0,0.15,0
CUST00300,3,1,5,19,0.19,0,1,2,1,98.99,4,0,0,0.16,0
CUST00301,7,2,2,3,0.75,0,1,1,0,119.56,2,0,0,0.22,0
CUST00302,8,1,4,4,0.47,1,0,2,1,160.07,4,1,0,0.09,0
CUST00303,9,2,4,20,0.93,0,0,0,0,113.55,3,1,0,0.24,1
CUST00304,9,3,7,2,0.81,2,0,2,0,130.81,3,1,0,0.29,0
CUST00305,9,3,9,17,0.82,1,0,0,1,109.39,2,0,0,0.35,0
CUST00306,7,4,4,8,0.56,0,1,0,0,114.83,2,0,0,0.18,0
CUST00307,7,3,5,8,0.45,1,0,0,1,62.66,3,1,0,0.19,0
CUST00308,1,1,3,17,0.37,0,0,0,0,37.82,1,0,1,0.1,0
CUST00309,6,2,7,12,0.22,1,1,0,0,89.1,3,1,1,0.2,0
CUST00310,7,4,4,7,0.81,0,0,2,0,104.91,2,1,0,0.15,0
CUST00311,10,1,1,6,0.43,4,1,0,0,50.01,2,0,0,0.24,0
CUST00312,1,1,3,17,0.35,0,0,2,0,57.36,1,0,0,0.03,0
CUST00313,10,2,12,4,0.64,4,0,0,0,173.58,3,0,0,0.22,1
CUST00314,4,0,2,17,0.58,0,0,3,0,108.41,1,1,0,0.03,0
CUST00315,7,0,3,11,0.79,1,1,0,1,126.21,3,1,0,0.25,1
CUST00316,5,1,7,6,0.39,0,0,1,1,222.41,1,1,1,0.14,0
CUST00317,7,1,1,2,0.7,0,1,1,0,26.64,1,1,1,0.24,0
CUST00318,6,0,1,13,0.59,0,1,0,0,140.7,1,0,0,0.14,0
CUST00319,10,1,3,3,0.87,2,0,0,0,184.75,4,1,0,0.26,0
CUST00320,6,1,5,10,0.42,0,0,1,0,121.38,3,0,0,0.09,0
CUST00321,7,3,1,72,0.72,0,0,2,0,80.88,1,0,0,0.18,0
CUST00322,7,4,6,15,0.73,0,0,0,0,46.78,2,1,1,0.29,0
CUST00323,6,1,16,6,0.25,0,1,0,1,152.59,2,1,0,0.18,0
CUST00324,6,0,5,3,0.2,0,1,0,0,89.09,2,0,1,0.17,0
CUST00325,7,2,10,23,0.68,0,0,0,1,168.7,1,1,0,0.18,0
CUST00326,2,0,2,45,0.16,0,0,2,0,127.88,4,0,1,0.05,0
CUST00327,2,1,1,16,0.03,1,0,0,0,111.75,1,1,1,0.1,0
